"batch","combine_stage","left_m","right_m","left_size_bytes","right_size_bytes","rss_mb","gc_vcells_frac","started_at","finished_at","ok","error_message","run_id","run_ts"
1,"ibind_started",0,2,NA,5023752,2763.234375,0.221343994140625,"2026-04-21 05:56:51.260483",NA,NA,NA,"20260421_055512","2026-04-21 05:55:12.213136"
1,"ibind_completed",0,2,NA,5023752,2763.234375,0.221343994140625,"2026-04-21 05:56:51.260483","2026-04-21 05:56:51.541747",TRUE,NA,"20260421_055512","2026-04-21 05:55:12.213136"
2,"ibind_started",2,2,5023752,5023752,3139.21875,0.2214599609375,"2026-04-21 05:56:54.939079",NA,NA,NA,"20260421_055512","2026-04-21 05:55:12.213136"
2,"ibind_completed",2,2,5023752,5023752,3141.796875,0.221466064453125,"2026-04-21 05:56:54.939079","2026-04-21 05:56:55.273428",TRUE,NA,"20260421_055512","2026-04-21 05:55:12.213136"
3,"ibind_started",4,2,5480048,5023752,3236.484375,0.221490478515625,"2026-04-21 05:56:58.706192",NA,NA,NA,"20260421_055512","2026-04-21 05:55:12.213136"
3,"ibind_completed",4,2,5480048,5023752,3236.5,0.221490478515625,"2026-04-21 05:56:58.706192","2026-04-21 05:56:59.034321",TRUE,NA,"20260421_055512","2026-04-21 05:55:12.213136"
4,"ibind_started",6,2,5936296,5023752,3338.0625,0.221514892578125,"2026-04-21 05:57:02.420816",NA,NA,NA,"20260421_055512","2026-04-21 05:55:12.213136"
4,"ibind_completed",6,2,5936296,5023752,3332.484375,0.221514892578125,"2026-04-21 05:57:02.420816","2026-04-21 05:57:02.761358",TRUE,NA,"20260421_055512","2026-04-21 05:55:12.213136"
5,"ibind_started",8,2,6392528,5023752,3155.921875,0.22154541015625,"2026-04-21 05:57:06.384368",NA,NA,NA,"20260421_055512","2026-04-21 05:55:12.213136"
5,"ibind_completed",8,2,6392528,5023752,3155.921875,0.22154541015625,"2026-04-21 05:57:06.384368","2026-04-21 05:57:06.714711",TRUE,NA,"20260421_055512","2026-04-21 05:55:12.213136"
6,"ibind_started",10,2,6852440,5023752,3344.78125,0.22156982421875,"2026-04-21 05:57:10.277787",NA,NA,NA,"20260421_055512","2026-04-21 05:55:12.213136"
6,"ibind_completed",10,2,6852440,5023752,3339.265625,0.22156982421875,"2026-04-21 05:57:10.277787","2026-04-21 05:57:10.620832",TRUE,NA,"20260421_055512","2026-04-21 05:55:12.213136"
7,"ibind_started",12,2,7307488,5023752,3238.3125,0.22159423828125,"2026-04-21 05:57:14.155176",NA,NA,NA,"20260421_055512","2026-04-21 05:55:12.213136"
7,"ibind_completed",12,2,7307488,5023752,3199.09375,0.22159423828125,"2026-04-21 05:57:14.155176","2026-04-21 05:57:14.488765",TRUE,NA,"20260421_055512","2026-04-21 05:55:12.213136"
8,"ibind_started",14,2,7762552,5023752,3210.4375,0.221624755859375,"2026-04-21 05:57:18.422835",NA,NA,NA,"20260421_055512","2026-04-21 05:55:12.213136"
8,"ibind_completed",14,2,7762552,5023752,3170.640625,0.221624755859375,"2026-04-21 05:57:18.422835","2026-04-21 05:57:18.756026",TRUE,NA,"20260421_055512","2026-04-21 05:55:12.213136"
9,"ibind_started",16,2,8217600,5023752,3168.375,0.221649169921875,"2026-04-21 05:57:22.518695",NA,NA,NA,"20260421_055512","2026-04-21 05:55:12.213136"
9,"ibind_completed",16,2,8217600,5023752,3169.046875,0.221649169921875,"2026-04-21 05:57:22.518695","2026-04-21 05:57:22.86067",TRUE,NA,"20260421_055512","2026-04-21 05:55:12.213136"
10,"ibind_started",18,2,8673928,5023752,3311.046875,0.221673583984375,"2026-04-21 05:57:26.384449",NA,NA,NA,"20260421_055512","2026-04-21 05:55:12.213136"
10,"ibind_completed",18,2,8673928,5023752,3279.0625,0.221673583984375,"2026-04-21 05:57:26.384449","2026-04-21 05:57:26.699017",TRUE,NA,"20260421_055512","2026-04-21 05:55:12.213136"
