"vbg_co2","age_at_encounter","sex","race_ethnicity","location","encounter_type","logOR","SE_logOR","OR","LCL","UCL","co2_ref","m_used","m_total","outcome","group","run_id","run_ts"
25,62,"Male","0","1","Inpatient",0.52459562268679,0.068545507333084,1.68977540336603,1.47734480861934,1.93275185126844,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
25.286432160804,62,"Male","0","1","Inpatient",0.516572613753728,0.0669730723972375,1.67627255935894,1.47006319822328,1.91140741204582,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
25.572864321608,62,"Male","0","1","Inpatient",0.508537508865374,0.0655003253424299,1.66285750139811,1.46251399775735,1.89064520011159,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
25.8592964824121,62,"Male","0","1","Inpatient",0.500490081371678,0.0641271292678273,1.64952947630907,1.45470176631157,1.87045039486787,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
26.1457286432161,62,"Male","0","1","Inpatient",0.49243010462259,0.062852845524965,1.63628774280058,1.44663262403409,1.85080685500724,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
26.4321608040201,62,"Male","0","1","Inpatient",0.48435735196806,0.0616762984070618,1.62313157128873,1.43831430606818,1.83169706829665,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
26.7185929648241,62,"Male","0","1","Inpatient",0.476271596758037,0.060595748375161,1.61006024372337,1.42975618529694,1.81310213243118,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
27.0050251256281,62,"Male","0","1","Inpatient",0.468172612342473,0.0596088756414686,1.59707305341686,1.4209692597972,1.79500177105469,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
27.2914572864322,62,"Male","0","1","Inpatient",0.460060172071317,0.0587127755381519,1.58416930487505,1.41196610244592,1.77737438750192,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
27.5778894472362,62,"Male","0","1","Inpatient",0.451934049294521,0.0579039665588381,1.57134831363045,1.40276077202549,1.76019715691365,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
27.8643216080402,62,"Male","0","1","Inpatient",0.443794017362032,0.0571784113100249,1.55860940607762,1.39336868728251,1.74344615526809,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
28.1507537688442,62,"Male","0","1","Inpatient",0.435639849623803,0.0565315499081422,1.54595191931063,1.38380646751061,1.72709652175541,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
28.4371859296482,62,"Male","0","1","Inpatient",0.427471319429783,0.0559583446726777,1.53337520096261,1.37409174514068,1.71112264900945,45,20,20,"imv_proc","VBG","20260421_121048","2026-04-21 12:10:48.40139"
