"paco2","age_at_encounter","sex","race_ethnicity","location","encounter_type","logOR","SE_logOR","OR","LCL","UCL","co2_ref","m_used","m_total","outcome","group","run_id","run_ts"
22,64,"Male","0","0","Inpatient",0.513819082843784,0.0441558437591828,1.67166323991733,1.53307209743763,1.82278315048688,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
22.321608040201,64,"Male","0","0","Inpatient",0.509952380368949,0.0429824682044978,1.66521189628169,1.53067182860223,1.81157750975938,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
22.643216080402,64,"Male","0","0","Inpatient",0.505891040085788,0.0418952185206654,1.65846261896041,1.52771997541267,1.80039424944094,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
22.964824120603,64,"Male","0","0","Inpatient",0.501631718420202,0.0408928461947777,1.65141371562591,1.52421837834825,1.78922344652,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
23.286432160804,64,"Male","0","0","Inpatient",0.49717107179809,0.0399734976858182,1.64406374760569,1.52017128549324,1.77805332332288,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
23.608040201005,64,"Male","0","0","Inpatient",0.49250575664535,0.0391346913554851,1.63641153596068,1.51558539184809,1.76687023339534,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
23.929648241206,64,"Male","0","0","Inpatient",0.487632429387883,0.0383733102579989,1.62845616732001,1.51046981966203,1.75565870589586,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
24.251256281407,64,"Male","0","0","Inpatient",0.482547746451588,0.0376856123809858,1.62019699945287,1.5048360361482,1.74440155204892,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
24.572864321608,64,"Male","0","0","Inpatient",0.477248364262364,0.0370672588141985,1.6116336665585,1.49869770896562,1.73308003318257,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
24.894472361809,64,"Male","0","0","Inpatient",0.47173093924611,0.0365133590861564,1.60276608425536,1.49207050412004,1.72167408560512,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
25.21608040201,64,"Male","0","0","Inpatient",0.465992127828726,0.0360185317008593,1.59359445425062,1.48497183492606,1.71016259358534,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
25.5376884422111,64,"Male","0","0","Inpatient",0.460028586436111,0.0355769768792744,1.5841192686715,1.47742057388413,1.69852369848825,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
25.8592964824121,64,"Male","0","0","Inpatient",0.453836971494165,0.0351825577872276,1.57434131404013,1.46943674137685,1.68673513006842,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
26.1809045226131,64,"Male","0","0","Inpatient",0.447413939428787,0.0348288861857231,1.5642616748742,1.4610411857851,1.67477454522637,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
26.5025125628141,64,"Male","0","0","Inpatient",0.440756146665875,0.0345094084831866,1.55388173689581,1.45225526898796,1.66261986017168,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
26.8241206030151,64,"Male","0","0","Inpatient",0.433860249631331,0.0342174885555135,1.54320318983157,1.44310056945117,1.65024956369606,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
27.1457286432161,64,"Male","0","0","Inpatient",0.426722904751052,0.0339464843407298,1.53222802978763,1.43359861256932,1.63764300180178,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
27.4673366834171,64,"Male","0","0","Inpatient",0.419340768450939,0.0336898160016641,1.52095856118382,1.4237706349974,1.62478062686171,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
27.7889447236181,64,"Male","0","0","Inpatient",0.411710497156891,0.0334410242746663,1.50939739823174,1.41363738675842,1.61164420743924,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
28.1105527638191,64,"Male","0","0","Inpatient",0.403828747294807,0.0331938183953656,1.49754746594253,1.40321897223994,1.59821699757308,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
28.4321608040201,64,"Male","0","0","Inpatient",0.395692175290585,0.032942113651205,1.48541200065082,1.39253472898609,1.58448386654169,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
28.7537688442211,64,"Male","0","0","Inpatient",0.387297437570127,0.0326800591216284,1.47299455004211,1.38160314154286,1.57043139177493,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
29.0753768844221,64,"Male","0","0","Inpatient",0.378641190559331,0.0324020565225198,1.46029897267207,1.37044178652773,1.55604791867163,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
29.3969849246231,64,"Male","0","0","Inpatient",0.369720090684097,0.0321027712829724,1.44732943696688,1.3590673045114,1.54132359167005,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
29.7185929648241,64,"Male","0","0","Inpatient",0.360530794370323,0.0317771370725026,1.43409041969516,1.34749539412783,1.526250361095,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
30.0402010050251,64,"Male","0","0","Inpatient",0.351069958043909,0.0314203549932763,1.42058670390302,1.33574082396511,1.51082197017492,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
30.3618090452261,64,"Male","0","0","Inpatient",0.341334238130755,0.0310278885827699,1.4068233763048,1.32381745813249,1.49503392628589,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
30.6834170854271,64,"Male","0","0","Inpatient",0.33132029105676,0.0305954556625515,1.39280582412365,1.31173829186166,1.4788834600228,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
31.0050251256281,64,"Male","0","0","Inpatient",0.321024773247823,0.0301190179390267,1.37853973137714,1.29951549401517,1.46236947519086,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
31.3266331658291,64,"Male","0","0","Inpatient",0.310444341129844,0.0295947691276695,1.36403107460446,1.28716045388926,1.44549249230327,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
31.6482412060301,64,"Male","0","0","Inpatient",0.299575651128722,0.0290191222446832,1.3492861180333,1.27468383017921,1.42825458769757,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
31.9698492462312,64,"Male","0","0","Inpatient",0.288415359670356,0.0283886965969104,1.33431140818583,1.26209560040022,1.41065932996699,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
32.2914572864322,64,"Male","0","0","Inpatient",0.276960123180646,0.0277003049074481,1.31911376792471,1.24940510941265,1.39271171505497,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
32.6130653266332,64,"Male","0","0","Inpatient",0.265206598085491,0.0269509409450375,1.30370028994147,1.23662111597963,1.37441810109077,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
32.9346733668342,64,"Male","0","0","Inpatient",0.253151440810791,0.0261377679844306,1.28807832969139,1.22375183648144,1.35578614385656,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
33.2562814070352,64,"Male","0","0","Inpatient",0.240791307782444,0.0252581084194882,1.27225549778026,1.21080498501289,1.33682473368315,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
33.5778894472362,64,"Male","0","0","Inpatient",0.22812285542635,0.0243094348928672,1.25623965181025,1.19778780907895,1.31754393459211,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
33.8994974874372,64,"Male","0","0","Inpatient",0.215142740168409,0.0232893634184388,1.24003888769358,1.18470711993771,1.29795492667688,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
34.2211055276382,64,"Male","0","0","Inpatient",0.201852348823357,0.0221962380643559,1.22366731885275,1.17157350602512,1.27807747403616,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
34.5427135678392,64,"Male","0","0","Inpatient",0.188304100251998,0.0210349176648681,1.20720056953355,1.15844160929318,1.25801180084624,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
34.8643216080402,64,"Male","0","0","Inpatient",0.174581550006798,0.0198143560436237,1.19074784392041,1.14539025404325,1.23790159973509,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
35.1859296482412,64,"Male","0","0","Inpatient",0.160768697891617,0.0185437613334845,1.17441329312469,1.13249473083283,1.21788344397301,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
35.5075376884422,64,"Male","0","0","Inpatient",0.146949543710316,0.017232501099131,1.15829551826121,1.11982658842509,1.19808595499672,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
35.8291457286432,64,"Male","0","0","Inpatient",0.133208087266754,0.0158900686765069,1.1424877107426,1.10745385113046,1.17862985249044,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
36.1507537688442,64,"Male","0","0","Inpatient",0.119628328364792,0.0145260538644109,1.12707787084731,1.09544126386321,1.1596281506448,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
36.4723618090452,64,"Male","0","0","Inpatient",0.10629426680829,0.0131501164803024,1.11214909692421,1.08385056517167,1.14118648228358,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
36.7939698492462,64,"Male","0","0","Inpatient",0.0932899024011068,0.0117719614216272,1.09777993818192,1.07274078846963,1.1234035338527,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
37.1155778894472,64,"Male","0","0","Inpatient",0.0806992349471039,0.0104013138848694,1.08404480473767,1.06216859198215,1.10637157561375,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
37.4371859296482,64,"Male","0","0","Inpatient",0.0686062642501408,0.00904789327651133,1.07101442944943,1.0521886185337,1.0901770727072,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
37.7587939698493,64,"Male","0","0","Inpatient",0.0570949901140771,0.00772138407316493,1.05875637700804,1.04285388730379,1.07490136394212,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
38.0804020100502,64,"Male","0","0","Inpatient",0.046249412342774,0.00643140139506684,1.04733559680897,1.03421622116996,1.06062139607741,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
38.4020100502513,64,"Male","0","0","Inpatient",0.0361535307400908,0.00518744824890558,1.03681501724874,1.02632671545263,1.04741050175082,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
38.7236180904523,64,"Male","0","0","Inpatient",0.0268913451098877,0.00399886010644515,1.02725618029205,1.01923625712092,1.03533920872186,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
39.0452261306533,64,"Male","0","0","Inpatient",0.0185468552560249,0.00287473043727888,1.01871991643384,1.01299610839821,1.02447606613214,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
39.3668341708543,64,"Male","0","0","Inpatient",0.0112040609823621,0.00182380754260814,1.01126706154113,1.00765857621365,1.01488846906931,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
39.6884422110553,64,"Male","0","0","Inpatient",0.00494696209275984,0.000854347759529334,1.00495921851208,1.00327780076291,1.00664345419028,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
40,64,"Male","0","0","Inpatient",0,0,1,1,1,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
40.0100502512563,64,"Male","0","0","Inpatient",-0.000140442358246418,2.60985701459209e-05,0.99985956750332,0.999808422797524,0.999910714825398,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
40.3316582914573,64,"Male","0","0","Inpatient",-0.00400107878646105,0.000813549497891639,0.996006914864637,0.994419990607535,0.997596371581486,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
40.6532663316583,64,"Male","0","0","Inpatient",-0.00667594742102298,0.0015142562678258,0.993346287209372,0.990402463470388,0.996298861025751,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
40.9748743718593,64,"Male","0","0","Inpatient",-0.00822837161151526,0.00213698554263549,0.99180538877704,0.98765990789084,0.995968269389239,40,20,20,"imv_proc","ABG","20260421_121048","2026-04-21 12:10:48.40139"
