"vbg_co2","age_at_encounter","sex","race_ethnicity","location","encounter_type","eta","SE_eta","var_eta","p","p_LCL","p_UCL","co2_ref","m_used","m_total","outcome","group","run_id","run_ts"
25,62,"Male","0","1","Inpatient",-1.04158510133816,0.109056385454368,0.0118932952083718,0.260844263357304,0.221777884734271,0.304103130195368,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
25.2914572864322,62,"Male","0","1","Inpatient",-1.04545195726386,0.106076473921183,0.0112522183195515,0.260099405762047,0.222118729723823,0.302052705194274,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
25.5829145728643,62,"Male","0","1","Inpatient",-1.04943764313552,0.103258417221424,0.0106623007270736,0.25933310339221,0.222384531037856,0.300051812707524,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
25.8743718592965,62,"Male","0","1","Inpatient",-1.05354476467597,0.100604590394132,0.010121283608371,0.258544989883905,0.222573839119949,0.298100455204193,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
26.1658291457286,62,"Male","0","1","Inpatient",-1.05777592760805,0.0981167278723967,0.00962689228838594,0.257734707180536,0.222685474729681,0.296198370234617,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
26.4572864321608,62,"Male","0","1","Inpatient",-1.06213373765456,0.0957958249033809,0.00917684006891921,0.256901905858215,0.222718565600831,0.294344995826622,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
26.748743718593,62,"Male","0","1","Inpatient",-1.06662080053833,0.0936420425838531,0.00876883213927617,0.256046245458749,0.222672581066994,0.292539437954729,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
27.0402010050251,62,"Male","0","1","Inpatient",-1.07123972198219,0.0916546210957706,0.00840056956820928,0.25516739483013,0.222547362906085,0.2907804418321,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
27.3316582914573,62,"Male","0","1","Inpatient",-1.07599310770895,0.0898318060441686,0.00806975337715712,0.254265032474455,0.222343150568844,0.289066368861585,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
27.6231155778894,62,"Male","0","1","Inpatient",-1.08088356344145,0.0881707927534974,0.00777408869478018,0.25333884690318,0.222060599011973,0.287395181026808,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
27.9145728643216,62,"Male","0","1","Inpatient",-1.0859136949025,0.086667692901063,0.00751128899279297,0.252388536999583,0.221700787576306,0.285764434284668,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
28.2060301507538,62,"Male","0","1","Inpatient",-1.09108610781493,0.0853175269396212,0.00727908040309298,0.251413812388315,0.221265218737048,0.284171282134106,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
28.4974874371859,62,"Male","0","1","Inpatient",-1.09640340790155,0.084114244430929,0.00707520611618606,0.250414393811869,0.220755806085261,0.282612490003934,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
28.7889447236181,62,"Male","0","1","Inpatient",-1.1018682008852,0.0830507727893509,0.00689743086090839,0.24939001351378,0.220174851531633,0.28108446047076,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
29.0804020100502,62,"Male","0","1","Inpatient",-1.10748309248869,0.0821190931845033,0.00674354546544514,0.248340415628359,0.219525012390276,0.279583268651361,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
29.3718592964824,62,"Male","0","1","Inpatient",-1.11325068843485,0.0813103406686111,0.00661137149964559,0.247265356576717,0.218809259627541,0.278104706486609,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
29.6633165829146,62,"Male","0","1","Inpatient",-1.11917359444649,0.0806149241681396,0.0064987659986349,0.246164605468816,0.218030829077866,0.276644334117004,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
29.9547738693467,62,"Male","0","1","Inpatient",-1.12525441624645,0.0800226609637695,0.00640362626772241,0.245037944511241,0.21719316778033,0.275197536198126,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
30.2462311557789,62,"Male","0","1","Inpatient",-1.13149575955755,0.0795229197691243,0.00632389476860658,0.243885169420377,0.216299877745418,0.273759580848337,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
30.5376884422111,62,"Male","0","1","Inpatient",-1.13790023010261,0.0791047665243791,0.00625756408687652,0.24270608984062,0.215354659419568,0.272325678962839,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
30.8291457286432,62,"Male","0","1","Inpatient",-1.14447043360444,0.0787571074939273,0.00620268198081002,0.241500529767213,0.214361256899141,0.270891041843835,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
31.1206030150754,62,"Male","0","1","Inpatient",-1.15120897578588,0.0784688250929513,0.00615735651146818,0.240268327973279,0.21332340659869,0.269450935443084,45,20,20,"imv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
