"term","logOR","estimate","SE","LCL","UCL","outcome","group","OR","method","run_id","run_ts"
"co2_catLow",0.298425348169879,1.34773492256281,0.0476820704397897,1.2274863863902,1.4797633942296,"IMV","ABG",1.34773492256281,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catHigh",0.230684495921716,1.2594618114195,0.0479989056171472,1.14637712195944,1.38370177146662,"IMV","ABG",1.2594618114195,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catLow",0.048868976872742,1.05008275659957,0.0805475850880359,0.896726570622841,1.22966557681219,"NIV","ABG",1.05008275659957,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catHigh",1.01795838108709,2.76753873277975,0.0693905906724221,2.41561236770445,3.17073663797918,"NIV","ABG",2.76753873277975,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catLow",0.571700105037561,1.77127584806608,0.0550928184967932,1.58997482183657,1.97325019670324,"Death60d","ABG",1.77127584806608,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catHigh",0.293166536471785,1.34066604163385,0.0564783616215119,1.20017688211469,1.49760044704678,"Death60d","ABG",1.34066604163385,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catLow",0.0646039105311879,1.06673641763365,0.0944154605399887,0.886521064678778,1.2835866287263,"HCRF","ABG",1.06673641763365,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catHigh",1.94568705756796,6.9984385337699,0.0717503632480013,6.0803140378226,8.0551993871183,"HCRF","ABG",6.9984385337699,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catLow",0.426366334423041,1.53168178013046,0.0720598790156829,1.32993354065431,1.76403482119067,"IMV","VBG",1.53168178013046,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catHigh",0.460114137276305,1.5842547972031,0.0718788364507947,1.37607001035151,1.82393573261576,"IMV","VBG",1.5842547972031,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catLow",0.00200309099167696,1.00200509851863,0.111909574106303,0.804656601746591,1.24775489976472,"NIV","VBG",1.00200509851863,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catHigh",1.08467173902718,2.95846850957576,0.0915382159823054,2.47256688496484,3.53985810267611,"NIV","VBG",2.95846850957576,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catLow",0.568604398837473,1.76580097710946,0.0749138024960842,1.52466291448593,2.04507702072102,"Death60d","VBG",1.76580097710946,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catHigh",0.327843031084068,1.38797108687239,0.0748731690659705,1.1985249827801,1.60736218741564,"Death60d","VBG",1.38797108687239,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catLow",-0.202336343333017,0.816820149723283,0.132146269619285,0.630436380583729,1.05830687685917,"HCRF","VBG",0.816820149723283,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
"co2_catHigh",1.96504005047728,7.13519835253542,0.0928741273950645,5.94771290996528,8.55977016723918,"HCRF","VBG",7.13519835253542,"IPW + MI adjusted","20260421_094018","2026-04-21 09:40:18.841212"
