"term","estimate","SE","LCL","UCL","m_used","m_total","outcome","group","run_id","run_ts"
"location3",1.2640954627192,0.1108989228061,1.04673357401924,1.48145735141916,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"encounter_typeInpatient",0.753429890681959,0.0964181791458767,0.56445025955604,0.942409521807877,20,20,"niv_proc","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"(Intercept)",-4.6507264994035,0.401376298231653,-5.43742404393753,-3.86402895486946,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)1",-1.28347140497965,0.341943851929446,-1.95368135476136,-0.613261455197933,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)2",0.639323433402013,0.352805925582909,-0.0521761807404882,1.33082304754451,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)3",0.417516908257658,0.881439951330587,-1.31010539635029,2.14513921286561,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)4",0.393283075709708,1.1396879674466,-1.84050534048562,2.62707149190504,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"age_at_encounter",0.0428336011546219,0.00227928856902999,0.0383661955593231,0.0473010067499207,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"sexMale",0.161317414050366,0.0619534058248477,0.0398887386336648,0.282746089467068,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity1",-0.125763447815534,0.0881764303188445,-0.298589251240469,0.047062355609401,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity2",-0.164930944434119,0.13417123230014,-0.427906559742392,0.0980446708741548,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity3",-0.255999700747282,0.199005375327679,-0.646050236389533,0.134050834894969,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity4",0.0302407381870827,0.233832294784975,-0.428070559591469,0.488552035965635,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity5",-11.1051984781078,0.354113035184901,-11.7992600270702,-10.4111369291454,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity6",-0.274016888074842,0.090483024390838,-0.451363615880885,-0.0966701602687995,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location1",0.25400379663926,0.0691658718610465,0.118438687791609,0.389568905486911,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location2",0.261631287905285,0.0994636693940823,0.0666824958928835,0.456580079917686,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location3",0.0782056267291402,0.102843273885601,-0.123367190086638,0.279778443544918,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"encounter_typeInpatient",0.682656505423315,0.0815524720038421,0.522813660295784,0.842499350550845,20,20,"death_60d","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"(Intercept)",-5.43785272068358,0.700533978749411,-6.81089931903242,-4.06480612233473,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)1",0.767050385376272,0.663480527187176,-0.533371447910594,2.06747221866314,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)2",8.43042695033136,0.531047855293714,7.38957315395568,9.47128074670704,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)3",4.74990200030852,1.52793811664459,1.75514329168513,7.74466070893192,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"splines::ns(vbg_co2, 4)4",-1.57443160843317,1.66701086307286,-4.84177290005597,1.69290968318964,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"age_at_encounter",0.00294525100044539,0.00237319681532754,-0.00170621475759658,0.00759671675848736,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"sexMale",-0.252273796179825,0.0829622715394359,-0.414879848397119,-0.0896677439625308,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity1",-0.0259449085900239,0.113399128658138,-0.248207200759975,0.196317383579927,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity2",-0.411841845987652,0.179043716682829,-0.762767530685996,-0.0609161612893074,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity3",-0.558138446365673,0.300970752328172,-1.14804112092889,0.0317642281975437,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity4",-1.15791599344827,0.389469201913621,-1.92127562919897,-0.394556357697576,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity5",-11.2071746669545,0.657627298058546,-12.4961241711493,-9.91822516275979,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"race_ethnicity6",-0.312418511884718,0.113887058189092,-0.535637145935339,-0.0891998778340971,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location1",0.0194164866557731,0.094856957681917,-0.166503150400784,0.20533612371233,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location2",0.0565312911662236,0.139589917924467,-0.217064947965732,0.330127530298179,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"location3",1.25338828164281,0.128331087198631,1.00185935073349,1.50491721255213,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
"encounter_typeInpatient",1.24917519199091,0.107342133126812,1.03878461106236,1.45956577291946,20,20,"hypercap_resp_failure","VBG","20260421_094018","2026-04-21 09:40:18.841212"
