"paco2","age_at_encounter","sex","race_ethnicity","location","encounter_type","eta","SE_eta","var_eta","p","p_LCL","p_UCL","co2_ref","m_used","m_total","outcome","group","run_id","run_ts"
21.7999992370605,64,"Male","0","0","Inpatient",-0.885225801820431,0.069537021066085,0.00483539729874515,0.292096035999661,0.264731747344109,0.321053786787925,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
22.1175871805929,64,"Male","0","0","Inpatient",-0.88598800471907,0.0674015685330705,0.0045429714407182,0.291938455756071,0.265398622091412,0.319976254209774,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
22.4351751241253,64,"Male","0","0","Inpatient",-0.887002050848596,0.065400234332061,0.00427719065068849,0.291728886115098,0.265966069865294,0.318903034911349,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
22.7527630676576,64,"Male","0","0","Inpatient",-0.888272404112109,0.0635336483008106,0.00403652446641109,0.291466471195393,0.266432565452016,0.317833423842773,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
23.07035101119,64,"Male","0","0","Inpatient",-0.889803528412708,0.0618017143739565,0.0038194518995601,0.291150373936458,0.266796931421625,0.316766412908431,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
23.3879389547223,64,"Male","0","0","Inpatient",-0.891599887653492,0.0602035227312999,0.00362446414925814,0.290779777158437,0.267058375112377,0.315700656589797,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
23.7055268982547,64,"Male","0","0","Inpatient",-0.893665945737559,0.0587372740468725,0.00345006736245741,0.290353884656212,0.267216520091959,0.314634443140498,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
24.0231148417871,64,"Male","0","0","Inpatient",-0.896006166568009,0.0574002216125702,0.00329478544117218,0.28987192232909,0.267271429698895,0.313565673758952,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
24.3407027853194,64,"Male","0","0","Inpatient",-0.898625014047939,0.0561886367209839,0.0031571628965627,0.289333139347246,0.267223620455746,0.312491851956068,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
24.6582907288518,64,"Male","0","0","Inpatient",-0.90152695208045,0.0550978016791109,0.00303576774987063,0.288736809356095,0.267074063593984,0.311410084887578,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
24.9758786723841,64,"Male","0","0","Inpatient",-0.904716444568639,0.0541220332231326,0.00292919448020587,0.28808223171962,0.266824173620997,0.310317097730136,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
25.2934666159165,64,"Male","0","0","Inpatient",-0.908197955415605,0.0532547370586397,0.00283606701918486,0.287368732803616,0.26647578372966,0.309209261310537,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
25.6110545594489,64,"Male","0","0","Inpatient",-0.911975948524449,0.0524884919998695,0.00275504179242037,0.286595667299691,0.266031108798315,0.308082632249975,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
25.9286425029812,64,"Male","0","0","Inpatient",-0.916054887798267,0.0518151600196576,0.00268481080786272,0.285762419590712,0.265492697630574,0.306933003983644,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
26.2462304465136,64,"Male","0","0","Inpatient",-0.920439237140159,0.0512260167394701,0.00262410479099247,0.284868405158229,0.264863376819394,0.305755966280696,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
26.5638183900459,64,"Male","0","0","Inpatient",-0.925133460453224,0.0507118957135754,0.00257169636686455,0.28391307203224,0.26414618909562,0.304546970413534,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
26.8814063335783,64,"Male","0","0","Inpatient",-0.93014202164056,0.0502633394135711,0.00252640328900385,0.282895902283438,0.263344329189992,0.30330139695611,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
27.1989942771106,64,"Male","0","0","Inpatient",-0.935469384605268,0.0498707500961467,0.00248709171515232,0.281816413557859,0.262461080103902,0.302014623323988,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
27.516582220643,64,"Male","0","0","Inpatient",-0.941120013250444,0.0495245346254502,0.00245267952986741,0.280674160653604,0.261499752297619,0.300682088554699,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
27.8341701641754,64,"Male","0","0","Inpatient",-0.947098371479189,0.049215238635733,0.00242213971397214,0.279468737139006,0.260463627744883,0.2992993533858,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
28.1517581077077,64,"Male","0","0","Inpatient",-0.9534089231946,0.0489336669467602,0.00239450376085645,0.278199777011338,0.259355910159846,0.297862154329789,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
28.4693460512401,64,"Male","0","0","Inpatient",-0.960056132299777,0.0486709886855622,0.00236886513963012,0.276866956394784,0.258179682059378,0.296366451086662,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
28.7869339947724,64,"Male","0","0","Inpatient",-0.967044462697819,0.0484188269697553,0.0023443828051271,0.275469995276069,0.256937868744667,0.294808467212457,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
29.1045219383048,64,"Male","0","0","Inpatient",-0.974378378291824,0.0481693341739466,0.00232028475476134,0.274008659275731,0.255633208810374,0.293184724436029,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
29.4221098818372,64,"Male","0","0","Inpatient",-0.982062342984892,0.0479152546923633,0.00229587163223404,0.272482761452594,0.254268230433245,0.291492071370686,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
29.7396978253695,64,"Male","0","0","Inpatient",-0.990100820680121,0.047649977734437,0.00227052037809234,0.270892164138575,0.252845232451966,0.289727707605228,40,20,20,"imv_proc","ABG","20260421_094018","2026-04-21 09:40:18.841212"
