sampled_at,render_ts,sampled_pid,role,rss_kb,vsz_kb,state,etime,command
"2026-04-23 07:00:53","20260423_070050",40971,"wrapper",2320,435303312,"Ss+","00:03","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:00:53","20260423_070050",41068,"quarto",1152,435299616,"S+","00:00","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:01:08","20260423_070050",40971,"wrapper",2320,435303312,"Ss+","00:18","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:01:08","20260423_070050",41068,"quarto",1152,435299616,"S+","00:15","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:01:08","20260423_070050",41111,"r",1437792,1836396448,"R+","00:15","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:01:23","20260423_070050",40971,"wrapper",2208,435303312,"Ss+","00:33","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:01:23","20260423_070050",41068,"quarto",1152,435299616,"S+","00:30","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:01:23","20260423_070050",41111,"r",2902944,1836421056,"R+","00:30","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:01:38","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","00:48","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:01:38","20260423_070050",41068,"quarto",512,435299616,"S+","00:45","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:01:38","20260423_070050",41111,"r",5600128,1839605488,"R+","00:45","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:01:53","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","01:03","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:01:53","20260423_070050",41068,"quarto",512,435299616,"S+","01:00","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:01:53","20260423_070050",41111,"r",6457904,1841548720,"R+","01:00","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:02:08","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","01:18","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:02:08","20260423_070050",41068,"quarto",512,435299616,"S+","01:15","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:02:08","20260423_070050",41111,"r",5875296,1841679792,"R+","01:15","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:02:23","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","01:33","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:02:23","20260423_070050",41068,"quarto",512,435299616,"S+","01:30","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:02:23","20260423_070050",41111,"r",5398064,1841535408,"R+","01:30","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:02:38","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","01:48","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:02:38","20260423_070050",41068,"quarto",512,435299616,"S+","01:45","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:02:38","20260423_070050",41111,"r",5582352,1841694656,"R+","01:45","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:02:53","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","02:03","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:02:53","20260423_070050",41068,"quarto",512,435299616,"S+","02:00","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:02:53","20260423_070050",41111,"r",5422352,1842209392,"R+","02:00","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:03:08","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","02:18","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:03:08","20260423_070050",41068,"quarto",512,435299616,"S+","02:15","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:03:08","20260423_070050",41111,"r",5362944,1842209392,"R+","02:15","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:03:23","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","02:33","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:03:23","20260423_070050",41068,"quarto",512,435299616,"S+","02:30","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:03:24","20260423_070050",41111,"r",5292944,1842209392,"R+","02:31","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:03:39","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","02:49","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:03:39","20260423_070050",41068,"quarto",512,435299616,"S+","02:46","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:03:39","20260423_070050",41111,"r",5293040,1842209392,"R+","02:46","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:03:54","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","03:04","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:03:54","20260423_070050",41068,"quarto",512,435299616,"S+","03:01","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:03:54","20260423_070050",41111,"r",5293056,1842209392,"R+","03:01","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:04:09","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","03:19","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:04:09","20260423_070050",41068,"quarto",512,435299616,"S+","03:16","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:04:09","20260423_070050",41111,"r",5126912,1841832976,"R+","03:16","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:04:24","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","03:34","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:04:24","20260423_070050",41068,"quarto",512,435299616,"S+","03:31","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:04:24","20260423_070050",41111,"r",5378496,1842329504,"R+","03:31","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:04:39","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","03:49","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:04:39","20260423_070050",41068,"quarto",512,435299616,"S+","03:46","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:04:39","20260423_070050",41111,"r",5378496,1842329504,"R+","03:46","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:04:54","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","04:04","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:04:54","20260423_070050",41068,"quarto",512,435299616,"S+","04:01","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:04:54","20260423_070050",41111,"r",5378496,1842329504,"R+","04:01","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:05:09","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","04:19","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:05:09","20260423_070050",41068,"quarto",512,435299616,"S+","04:16","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:05:09","20260423_070050",41111,"r",5378496,1842329504,"R+","04:16","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:05:24","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","04:34","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:05:24","20260423_070050",41068,"quarto",512,435299616,"S+","04:31","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:05:24","20260423_070050",41111,"r",5378496,1842329504,"R+","04:31","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:05:39","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","04:49","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:05:39","20260423_070050",41068,"quarto",512,435299616,"S+","04:46","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:05:39","20260423_070050",41111,"r",5378496,1842329504,"R+","04:46","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-23 07:05:54","20260423_070050",40971,"wrapper",1008,435303312,"Ss+","05:04","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:05:54","20260423_070050",41068,"quarto",496,435299616,"S+","05:01","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.25"
"2026-04-23 07:05:55","20260423_070050",41111,"r",3471024,1841609280,"R+","05:02","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
