"sentinel_concept","group","imp","n_tested","events","unweighted_rate","weighted_rate","weighted_n","ess","date_missing_fraction","run_id","run_ts"
"Chest radiograph","ABG",6,46653,14118,0.302617195035689,0.295964054706875,46653.0000000001,33955.1711254675,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",6,37383,15186,0.40622742958029,0.395630945875045,37383.0000000003,25771.4453205379,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",6,46653,6888,0.147643238376953,0.130339586989553,46653.0000000001,33955.1711254675,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",6,37383,6370,0.17039830939197,0.201099885395254,37383.0000000003,25771.4453205379,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",7,46653,2167,0.0464493173000664,0.0478360965869011,46652.9999999998,33720.0841347687,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",7,37383,3022,0.0808388839846989,0.0715355575903619,37383.0000000004,25556.076914495,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",7,46653,14118,0.302617195035689,0.296623837451957,46652.9999999998,33720.0841347687,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",7,37383,15186,0.40622742958029,0.395728909335154,37383.0000000004,25556.076914495,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",7,46653,6888,0.147643238376953,0.130196232802524,46652.9999999998,33720.0841347687,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",7,37383,6370,0.17039830939197,0.20022384577434,37383.0000000004,25556.076914495,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",8,46653,2167,0.0464493173000664,0.0477394327646863,46653.0000000006,33804.4503154683,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",8,37383,3022,0.0808388839846989,0.0723502867846576,37383,25807.8721379874,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",8,46653,14118,0.302617195035689,0.295321361743444,46653.0000000006,33804.4503154683,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",8,37383,15186,0.40622742958029,0.396228366123212,37383,25807.8721379874,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",8,46653,6888,0.147643238376953,0.129608989430746,46653.0000000006,33804.4503154683,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",8,37383,6370,0.17039830939197,0.199430427457132,37383,25807.8721379874,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",9,46653,2167,0.0464493173000664,0.0477029079938026,46653.0000000007,33796.9554570337,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",9,37383,3022,0.0808388839846989,0.0721783512068766,37383.0000000003,25758.5957253692,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",9,46653,14118,0.302617195035689,0.297271856878298,46653.0000000007,33796.9554570337,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",9,37383,15186,0.40622742958029,0.396813309303872,37383.0000000003,25758.5957253692,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",9,46653,6888,0.147643238376953,0.13032083165005,46653.0000000007,33796.9554570337,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",9,37383,6370,0.17039830939197,0.19981059680731,37383.0000000003,25758.5957253692,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",10,46653,2167,0.0464493173000664,0.0472855952799062,46653.0000000007,33696.6878559567,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",10,37383,3022,0.0808388839846989,0.0718869948178561,37383.0000000001,25778.0388394859,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",10,46653,14118,0.302617195035689,0.29543825657485,46653.0000000007,33696.6878559567,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",10,37383,15186,0.40622742958029,0.394908964574601,37383.0000000001,25778.0388394859,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",10,46653,6888,0.147643238376953,0.129887907072831,46653.0000000007,33696.6878559567,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",10,37383,6370,0.17039830939197,0.199907848983298,37383.0000000001,25778.0388394859,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",11,46653,2167,0.0464493173000664,0.0476542196329913,46652.9999999999,33653.0943300268,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",11,37383,3022,0.0808388839846989,0.0716017281516475,37383.0000000003,25633.360689078,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",11,46653,14118,0.302617195035689,0.296080045318268,46652.9999999999,33653.0943300268,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",11,37383,15186,0.40622742958029,0.395357694653599,37383.0000000003,25633.360689078,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",11,46653,6888,0.147643238376953,0.129003410371206,46652.9999999999,33653.0943300268,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",11,37383,6370,0.17039830939197,0.199077882506458,37383.0000000003,25633.360689078,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",12,46653,2167,0.0464493173000664,0.0474943923804922,46653.0000000001,33735.2342467451,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",12,37383,3022,0.0808388839846989,0.0725282799763313,37382.9999999995,25785.1293175696,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",12,46653,14118,0.302617195035689,0.29625958571147,46653.0000000001,33735.2342467451,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",12,37383,15186,0.40622742958029,0.397353695197261,37382.9999999995,25785.1293175696,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",12,46653,6888,0.147643238376953,0.129834259034551,46653.0000000001,33735.2342467451,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",12,37383,6370,0.17039830939197,0.199614845254845,37382.9999999995,25785.1293175696,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",13,46653,2167,0.0464493173000664,0.0479504637918178,46653.0000000002,33822.972676176,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",13,37383,3022,0.0808388839846989,0.072514549694803,37383,25652.6552751478,0,"20260421_121048","2026-04-21 12:10:48.40139"
