"paco2","age_at_encounter","sex","race_ethnicity","location","encounter_type","eta","SE_eta","var_eta","p","p_LCL","p_UCL","co2_ref","m_used","m_total","outcome","outcome_var","group","strategy","co2_scale","co2_value","vbg_co2","run_id","run_ts"
22,63,"Male","0","0","Inpatient",-0.851851021077901,0.0430546351123763,0.00185370160465987,0.299044707825077,0.281660853601102,0.317027962934355,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",22,NA,"20260421_121048","2026-04-21 12:10:48.40139"
22.321608040201,63,"Male","0","0","Inpatient",-0.855717723552737,0.0417525175814656,0.00174327272439059,0.29823481169248,0.281394959233194,0.315639780145927,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",22.321608040201,NA,"20260421_121048","2026-04-21 12:10:48.40139"
22.643216080402,63,"Male","0","0","Inpatient",-0.859779063835897,0.040540467216633,0.0016435294821429,0.297385507618516,0.281054212028171,0.314250977119118,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",22.643216080402,NA,"20260421_121048","2026-04-21 12:10:48.40139"
22.964824120603,63,"Male","0","0","Inpatient",-0.864038385501483,0.0394185279074854,0.00155382034239321,0.296496302298027,0.280638085855613,0.312860898416835,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",22.964824120603,NA,"20260421_121048","2026-04-21 12:10:48.40139"
23.286432160804,63,"Male","0","0","Inpatient",-0.868499032123596,0.0383861832286777,0.00147349906286562,0.295566718147633,0.280146315922088,0.311468660036017,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",23.286432160804,NA,"20260421_121048","2026-04-21 12:10:48.40139"
23.608040201005,63,"Male","0","0","Inpatient",-0.873164347276335,0.0374423003119834,0.00140192585265276,0.294596294018355,0.279578920888034,0.31007312891285,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",23.608040201005,NA,"20260421_121048","2026-04-21 12:10:48.40139"
23.929648241206,63,"Male","0","0","Inpatient",-0.878037674533802,0.0365850864387606,0.00133846854973159,0.293584585928242,0.278936219266471,0.308672908197491,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",23.929648241206,NA,"20260421_121048","2026-04-21 12:10:48.40139"
24.251256281407,63,"Male","0","0","Inpatient",-0.883122357470098,0.0358120624632844,0.00128250381787418,0.292531167815107,0.278218838453019,0.307266329951133,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",24.251256281407,NA,"20260421_121048","2026-04-21 12:10:48.40139"
24.572864321608,63,"Male","0","0","Inpatient",-0.888421739659322,0.0351200564201341,0.0012334183629534,0.291435632309362,0.27742771508313,0.305851456571665,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",24.572864321608,NA,"20260421_121048","2026-04-21 12:10:48.40139"
24.894472361809,63,"Male","0","0","Inpatient",-0.893939164675576,0.0345052194405943,0.00119061016864357,0.290297591526916,0.276564085949385,0.304426091717162,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",24.894472361809,NA,"20260421_121048","2026-04-21 12:10:48.40139"
25.21608040201,63,"Male","0","0","Inpatient",-0.899677976092959,0.0339630645189164,0.00115348975151608,0.289116677881986,0.275629469387316,0.30298780082065,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",25.21608040201,NA,"20260421_121048","2026-04-21 12:10:48.40139"
25.5376884422111,63,"Male","0","0","Inpatient",-0.905641517485575,0.0334885269238573,0.00112148143552992,0.287892544919609,0.274625637768713,0.301533940558905,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",25.5376884422111,NA,"20260421_121048","2026-04-21 12:10:48.40139"
25.8592964824121,63,"Male","0","0","Inpatient",-0.91183313242752,0.0330760433836515,0.0010940246459172,0.286624868167533,0.27355458242648,0.300061695952722,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",25.8592964824121,NA,"20260421_121048","2026-04-21 12:10:48.40139"
26.1809045226131,63,"Male","0","0","Inpatient",-0.918256164492899,0.0327196458181257,0.00107057522246359,0.285313346007074,0.272418472878519,0.298568123232394,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",26.1809045226131,NA,"20260421_121048","2026-04-21 12:10:48.40139"
26.5025125628141,63,"Male","0","0","Inpatient",-0.92491395725581,0.0324130645293488,0.00105060675218373,0.28395770056241,0.271219612548605,0.297050196271356,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",26.5025125628141,NA,"20260421_121048","2026-04-21 12:10:48.40139"
26.8241206030151,63,"Male","0","0","Inpatient",-0.931809854290354,0.0321498354800072,0.00103361192139153,0.282557678607664,0.269960393267729,0.295504854305064,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",26.8241206030151,NA,"20260421_121048","2026-04-21 12:10:48.40139"
27.1457286432161,63,"Male","0","0","Inpatient",-0.938947199170633,0.0319234065720675,0.00101910388716553,0.281113052491009,0.26864325069054,0.293929048800672,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",27.1457286432161,NA,"20260421_121048","2026-04-21 12:10:48.40139"
27.4673366834171,63,"Male","0","0","Inpatient",-0.946329335470746,0.0317272385846779,0.00100661766820907,0.279623621074874,0.26727062242494,0.292319787679107,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",27.4673366834171,NA,"20260421_121048","2026-04-21 12:10:48.40139"
27.7889447236181,63,"Male","0","0","Inpatient",-0.953959606764794,0.0315548974820955,0.000995711555105559,0.278089210691218,0.265844910216881,0.290674175546768,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",27.7889447236181,NA,"20260421_121048","2026-04-21 12:10:48.40139"
