"outcome","outcome_var","group","co2_scale","strategy","co2_value","p","p_LCL","p_UCL","m_used","n_standardized","standardization_sample_cap","run_id","run_ts"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",73.4070351758794,0.245928232768528,0.235862255750071,0.252374310319845,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",73.6934673366834,0.247837646761796,0.237702079461044,0.254313854928309,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",73.9798994974874,0.249732805414062,0.239517785660816,0.256243929290101,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",74.2663316582915,0.251613419586648,0.241319619450647,0.258166532254601,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",74.5527638190955,0.253479206784356,0.243107304239364,0.26007367126095,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",74.8391959798995,0.255329891142563,0.244880569643539,0.26196506728643,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",75.1256281407035,0.257165203409257,0.246639151478518,0.263840448205825,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",75.4120603015075,0.258984880922221,0.248382791744814,0.26569954876197,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",75.6984924623116,0.260788667581586,0.250111238610052,0.267542110531587,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",75.9849246231156,0.262576313817933,0.251824246386649,0.269367881886605,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",76.2713567839196,0.264347576556184,0.253521575505417,0.271176617951198,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",76.5577889447236,0.266102219175452,0.255202992485278,0.27296808055475,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",76.8442211055277,0.267840011465078,0.25686826989926,0.274742038180956,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",77.1306532663317,0.269560729577043,0.258517186336975,0.276498265913274,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",77.4170854271357,0.271264155974949,0.260149526363741,0.278236545376936,20,1000,1000,"20260421_121048","2026-04-21 12:10:48.40139"
