"paco2","age_at_encounter","sex","race_ethnicity","location","encounter_type","logOR","SE_logOR","OR","LCL","UCL","co2_ref","m_used","m_total","outcome","group","run_id","run_ts"
62.0942916647755,64,"Male","0","0","Inpatient",2.58045057537279,0.123539266246204,13.203085804935,10.3637445391544,16.8203176095173,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
62.4202615157087,64,"Male","0","0","Inpatient",2.60590379981784,0.12444723007064,13.5434603498952,10.6120190231295,17.284676728283,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
62.7462313666418,64,"Male","0","0","Inpatient",2.6309117588012,0.125324125387484,13.886425202358,10.862065318063,17.7528673649211,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
63.0722012175749,64,"Male","0","0","Inpatient",2.6554752472803,0.126170321773625,14.2317480519495,11.1137315084111,18.2245407369145,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
63.3981710685081,64,"Male","0","0","Inpatient",2.67959506021253,0.126986201500126,14.5791884069443,11.3668600113432,18.6993359989539,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
63.7241409194412,64,"Male","0","0","Inpatient",2.70327199255533,0.127772159762579,14.9284978339676,11.6212876602643,19.1768807462518,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
64.0501107703743,64,"Male","0","0","Inpatient",2.72650683926608,0.128528604936942,15.2794202194632,11.8768457995058,19.6567915576251,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
64.3760806213075,64,"Male","0","0","Inpatient",2.74930039530221,0.129255958859592,15.6316920526612,12.1333603902458,20.1386745773799,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
64.7020504722406,64,"Male","0","0","Inpatient",2.77165345562113,0.12995465713044,15.9850427297097,12.390652127696,20.6221261348702,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
65.0280203231737,64,"Male","0","0","Inpatient",2.79356681518024,0.130625149438066,16.3391948785647,12.6485365695734,21.106733400441,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
65.3539901741069,64,"Male","0","0","Inpatient",2.81504126893696,0.131267899905903,16.6938647041658,12.9068242758547,21.5920750763098,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
65.67996002504,64,"Male","0","0","Inpatient",2.8360776118487,0.131883387458542,17.048762353354,13.1653209597888,22.0777221207834,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
66.0059298759732,64,"Male","0","0","Inpatient",2.85667663887287,0.132472106207295,17.4035922989227,13.423827650125,22.5632385040566,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
66.3318997269063,64,"Male","0","0","Inpatient",2.87683914496687,0.133034565854123,17.7580537421243,13.6821408644948,23.0481819936897,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
66.6578695778394,64,"Male","0","0","Inpatient",2.89656592508813,0.133571292113079,18.1118410328936,13.9400527938648,23.5321049677218,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
66.9838394287725,64,"Male","0","0","Inpatient",2.91585777419405,0.134082827148357,18.4646441069798,14.1973514979624,24.0145552532356,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
67.3098092797057,64,"Male","0","0","Inpatient",2.93471548724204,0.134569730028028,18.8161489391234,14.4538211115564,24.4950769880637,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
67.6357791306388,64,"Male","0","0","Inpatient",2.95313985918951,0.135032577192473,19.1660380113511,14.7092420614601,24.9732115031963,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
67.961748981572,64,"Male","0","0","Inpatient",2.97113168499388,0.135471962936445,19.5139907954069,14.9633912941076,25.4484982233392,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
68.2877188325051,64,"Male","0","0","Inpatient",2.98869175961255,0.135888499903642,19.8596842482812,15.2160425135388,25.9204755829579,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
68.6136886834382,64,"Male","0","0","Inpatient",3.00582087800294,0.136282819592502,20.2027933197515,15.4669664296187,26.3886819550469,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
68.9396585343713,64,"Male","0","0","Inpatient",3.02251983512245,0.13665557287188,20.5429914707963,15.7159310162994,26.8526565897703,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
69.2656283853045,64,"Male","0","0","Inpatient",3.0387894259285,0.137007430505066,20.8799512017026,15.9627017797247,27.3119405600399,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
69.5915982362376,64,"Male","0","0","Inpatient",3.0546304453785,0.137339083680489,21.2133445886435,16.2070420359682,27.7660777110243,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
69.9175680871708,64,"Male","0","0","Inpatient",3.07004368842985,0.137651244547244,21.5428438274649,16.4487131981843,28.2146156105252,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
70.2435379381039,64,"Male","0","0","Inpatient",3.08502995003998,0.137944646753415,21.868121783389,16.6874750729455,28.6571064971019,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
70.569507789037,64,"Male","0","0","Inpatient",3.09959002516628,0.138220045984927,22.1888525453099,16.9230861655332,29.0931082227928,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
70.8954776399702,64,"Male","0","0","Inpatient",3.11372470876617,0.138478220502443,22.5047119833319,17.1553039939419,29.5221851872498,40,80,80,"hypercap_resp_failure","ABG","20260204_191353","2026-02-04 19:13:53.507587"
