"block","run_mode","m","maxit","pilot_frac","stop_method","ps_floor_quantile","ps_floor","weight_p01","weight_p05","weight_p95","weight_p99","weight_max","sum_w","ess","top1_weight_share","trunc_rate","target_max_smd_post_med","target_max_smd_post_max","runtime_proj_total_hrs","chain_diag_n_imputed_vars","chain_diag_n_with_chainMean","chain_diag_n_with_drift_tail","chain_diag_drift_tail_na_frac","chain_diag_tail_window_na_mean","run_id","run_ts"
"ABG weights","pilot",80,20,0.01,"smd.max",0.01,0.138783230382905,0.519527623588538,0.550442124076855,2.09370376683267,3.22044294033389,3.22551127858688,1911,1499.1696740181,0.0320694475631349,0.010465724751439,0.0994862662061578,0.115523720833031,3.95887730518977,16,16,16,0,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG weights","pilot",80,20,0.01,"smd.max",0.01,0.143000390514234,0.463716675288895,0.521254811146123,1.9567443356599,2.44584222102841,2.44700891986176,1445,1206.97919052068,0.0237080448983146,0.0103806228373702,0.0674637532014772,0.0863803938167865,3.95887730518977,16,16,16,0,0,"20260208_095917","2026-02-08 09:59:17.934826"
"ABG outcomes","pilot",80,20,0.01,"smd.max",0.01,0.138783230382905,0.519527623588538,0.550442124076855,2.09370376683267,3.22044294033389,3.22551127858688,1911,1499.1696740181,0.0320694475631349,0.010465724751439,0.0994862662061578,0.115523720833031,3.95887730518977,16,16,16,0,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG outcomes","pilot",80,20,0.01,"smd.max",0.01,0.143000390514234,0.463716675288895,0.521254811146123,1.9567443356599,2.44584222102841,2.44700891986176,1445,1206.97919052068,0.0237080448983146,0.0103806228373702,0.0674637532014772,0.0863803938167865,3.95887730518977,16,16,16,0,0,"20260208_095917","2026-02-08 09:59:17.934826"
