"imp","group","outcome","outcome_var","co2_scale","status","error_message","n_standardized","n_grid","m_used","m_total","min_required","passed_threshold","run_id","run_ts"
12,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
12,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
13,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
13,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
13,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
13,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
14,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
14,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
14,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
14,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
15,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
15,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
15,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
15,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
16,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
16,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
16,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
16,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
17,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
17,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
17,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
17,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
18,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
18,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
18,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
18,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
19,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
19,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
19,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
19,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
20,"ABG","IMV","imv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
20,"ABG","NIV","niv_proc","paco2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
20,"VBG","IMV","imv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
20,"VBG","NIV","niv_proc","vbg_co2","completed","",1000,201,20,20,18,TRUE,"20260423_104307","2026-04-23 10:43:07.487173"
