"vbg_co2","age_at_encounter","sex","race_ethnicity","location","encounter_type","logOR","SE_logOR","OR","LCL","UCL","co2_ref","m_used","m_total","outcome","group","run_id","run_ts"
25,62,"Male","0","1","Inpatient",0.393230620582773,0.0340236463555476,1.48176007429982,1.38616961929824,1.58394246073619,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
25.286432160804,62,"Male","0","1","Inpatient",0.389723742361563,0.033301813050593,1.47657282301164,1.38327266610128,1.57616596863841,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
25.572864321608,62,"Male","0","1","Inpatient",0.38614703737996,0.0326275969610785,1.47130099115364,1.38015656735162,1.56846451901002,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
25.8592964824121,62,"Male","0","1","Inpatient",0.382499197246993,0.0320006717586849,1.46594369756638,1.37682191151236,1.5608343435456,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
26.1457286432161,62,"Male","0","1","Inpatient",0.378778913571686,0.0314204642498802,1.46050010329537,1.37327006388019,1.5532709900475,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
26.4321608040201,62,"Male","0","1","Inpatient",0.374984877963066,0.0308861429630994,1.45496941235065,1.36950318824682,1.54576930455052,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
26.7185929648241,62,"Male","0","1","Inpatient",0.371115782030159,0.0303966112412343,1.44935087245882,1.36552425431614,1.53832342769272,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
27.0050251256281,62,"Male","0","1","Inpatient",0.367170317381991,0.029950505420384,1.44364377580617,1.36133702952679,1.53092680667649,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
27.2914572864322,62,"Male","0","1","Inpatient",0.363147175627588,0.0295461984539289,1.43784745977187,1.35694605462988,1.52357222346347,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
27.5778894472362,62,"Male","0","1","Inpatient",0.359045048375977,0.029181809077063,1.43196130765007,1.35235660317206,1.51625183904694,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
27.8643216080402,62,"Male","0","1","Inpatient",0.354862627236184,0.0288552163230799,1.42598474935961,1.34757462586435,1.50895725281404,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
28.1507537688442,62,"Male","0","1","Inpatient",0.350598603817235,0.0285640789247714,1.41991726214027,1.3426066816027,1.5016795752254,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
28.4371859296482,62,"Male","0","1","Inpatient",0.346251669728156,0.0283058588881732,1.41375837123433,1.33745985757199,1.49440951137299,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
28.7236180904523,62,"Male","0","1","Inpatient",0.341820516577973,0.0280778483338197,1.40750765055216,1.33214168135295,1.48713745248991,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
29.0100502512563,62,"Male","0","1","Inpatient",0.337303835975713,0.0278771985781317,1.40116472332076,1.3266600282215,1.47985357221508,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
29.2964824120603,62,"Male","0","1","Inpatient",0.332700319530402,0.0277009503813654,1.39472926271394,1.32102302687235,1.47254792437358,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
29.5829145728643,62,"Male","0","1","Inpatient",0.328008658851066,0.0275460643165769,1.38820099246301,1.31523896662683,1.46521053920544,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
29.8693467336683,62,"Male","0","1","Inpatient",0.32322754554673,0.0274094503063706,1.38157968744666,1.30931620883457,1.45783151532526,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
30.1557788944724,62,"Male","0","1","Inpatient",0.318355671226422,0.0272879955153479,1.37486517425895,1.30326310470112,1.45040110517331,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
30.4422110552764,62,"Male","0","1","Inpatient",0.313391727499168,0.0271785899579644,1.3680573317541,1.29708792122376,1.44290979226788,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
30.7286432160804,62,"Male","0","1","Inpatient",0.308334405973993,0.0270781493656955,1.36115609156695,1.29079877635001,1.43534835913682,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
31.0150753768844,62,"Male","0","1","Inpatient",0.303182398259924,0.0269836350379263,1.35416143860783,1.28440358393358,1.42770794534568,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
31.3015075376884,62,"Male","0","1","Inpatient",0.297934395965987,0.0268920705653016,1.34707341153076,1.27791000858455,1.41998009551785,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
31.5879396984925,62,"Male","0","1","Inpatient",0.292589090701209,0.0268005554540409,1.3398921031736,1.27132543011572,1.41215679763722,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
31.8743718592965,62,"Male","0","1","Inpatient",0.287145174074615,0.0267062757906442,1.3326176609693,1.26465691698452,1.40423051222597,45,80,80,"imv_proc","VBG","20260208_102357","2026-02-08 10:23:57.345274"
