"group","n","ess","min","p99","max","trunc","p01_ps","run_id","run_ts"
"ABG",196,167.925834869192,0.554400294546318,2.40396152309824,2.41588701302559,0.0102040816326531,0.198789549731319,"20260203_073803","2026-02-03 07:38:03.890464"
"VBG",146,126.920554562412,0.497471531196085,2.18883764461291,2.21143007230674,0.0136986301369863,0.162006412576682,"20260203_073803","2026-02-03 07:38:03.890464"
