"paco2","age_at_encounter","sex","race_ethnicity","location","encounter_type","eta","SE_eta","var_eta","p","p_LCL","p_UCL","co2_ref","m_used","m_total","outcome","group","run_id","run_ts"
53.5326633165829,64,"Male","0","0","Inpatient",-1.17694318142955,0.136876197218535,0.0187350933650074,0.235602265421512,0.190738221447665,0.287272926262853,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
53.8442211055276,64,"Male","0","0","Inpatient",-1.16947789272515,0.138024691460081,0.0190508154526506,0.236949370582926,0.191544374832565,0.289266423799216,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
54.1557788944724,64,"Male","0","0","Inpatient",-1.16204231858721,0.139209382232172,0.0193792521014631,0.238296383313299,0.192337488208694,0.291276612980536,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
54.4673366834171,64,"Male","0","0","Inpatient",-1.15463638948961,0.140427886199126,0.0197199912223547,0.239643246795695,0.193118154191757,0.293302599065424,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
54.7788944723618,64,"Male","0","0","Inpatient",-1.14726003590622,0.14167789840034,0.020072626895137,0.24098990447864,0.193886953000196,0.295343501928689,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
55.0904522613065,64,"Male","0","0","Inpatient",-1.13991318831093,0.142957194049616,0.0204367593305395,0.24233630008344,0.194644451151167,0.297398457474383,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
55.4020100502513,64,"Male","0","0","Inpatient",-1.13259577717762,0.144263629624087,0.0208119948323157,0.243682377611385,0.195391200401848,0.299466618800274,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
55.713567839196,64,"Male","0","0","Inpatient",-1.12530773298016,0.145595143323662,0.0211979457594377,0.24502808135081,0.196127736914085,0.301547157135677,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
56.0251256281407,64,"Male","0","0","Inpatient",-1.11804898619245,0.146949754978973,0.0215942304883801,0.246373355884021,0.196854580620464,0.303639262574521,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
56.3366834170854,64,"Male","0","0","Inpatient",-1.11081946728835,0.148325565481792,0.0220004733754935,0.247718146094099,0.197572234770363,0.305742144625053,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
56.6482412060301,64,"Male","0","0","Inpatient",-1.10361910674175,0.149720755807157,0.0224163047194665,0.249062397171558,0.19828118563536,0.30785503259677,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
56.9597989949749,64,"Male","0","0","Inpatient",-1.09644783502654,0.151133585691194,0.0228413607238775,0.25040605462087,0.198981902354457,0.30997717584409,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
57.2713567839196,64,"Male","0","0","Inpatient",-1.08930558261658,0.152562392023184,0.0232752834598356,0.251749064266862,0.199674836900821,0.312107843885037,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
57.5829145728643,64,"Male","0","0","Inpatient",-1.08219227998576,0.154005587004855,0.02371772082871,0.253091372260966,0.200360424153085,0.314246326411875,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
57.894472361809,64,"Male","0","0","Inpatient",-1.07510785760796,0.155461656124428,0.0241683265249498,0.254432925087338,0.201039082055678,0.31639193320921,40,20,20,"imv_proc","ABG","20260421_061058","2026-04-21 06:10:58.635955"
