"feature","mean_abs_shap","group","run_id","run_ts"
"serum_lac",6.94345831438357,"ABG","20260415_003149","2026-04-15 00:31:49.347034"
"serum_cr",3.30288847210566,"ABG","20260415_003149","2026-04-15 00:31:49.347034"
"wbc",1.68617474036639,"ABG","20260415_003149","2026-04-15 00:31:49.347034"
"serum_phos",1.11987551523752,"ABG","20260415_003149","2026-04-15 00:31:49.347034"
"sbp",0.821175261692153,"ABG","20260415_003149","2026-04-15 00:31:49.347034"
"serum_ca",0.534423029275727,"ABG","20260415_003149","2026-04-15 00:31:49.347034"
"age_at_encounter",0.50697163878405,"ABG","20260415_003149","2026-04-15 00:31:49.347034"
"serum_hco3",0.482093463264183,"ABG","20260415_003149","2026-04-15 00:31:49.347034"
"encounter_type",0.465145260761035,"ABG","20260415_003149","2026-04-15 00:31:49.347034"
"location",0.452587605037967,"ABG","20260415_003149","2026-04-15 00:31:49.347034"
