"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","n_imp_contrib","run_id","run_ts"
"VBG","death_60d","Death (60d)",69,69.5,4,0.420409410329321,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",70,70.5,9,0.32001591304585,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",71,71.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",72,72.5,4,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",73,73.5,1,1,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",74,74.5,2,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",75,75.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",76,76.5,3,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",77,77.5,4,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",78,78.5,2,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",79,79.5,4,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",80,80.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",81,81.5,3,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",82,82.5,2,0.33431972491306,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","death_60d","Death (60d)",84,84.5,1,1,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",24,24.5,6,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",25,25.5,6,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",26,26.5,11,0.0561487903224991,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",27,27.5,9,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",28,28.5,8,0.102732424167899,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",29,29.5,13,0.189501557976284,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",30,30.5,25,0.0633229010358779,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",31,31.5,25,0.0536493522322314,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",32,32.5,24,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",33,33.5,28,0.037981574238075,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",34,34.5,21,0.0435305054629706,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",35,35.5,42,0.0166067655938971,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",36,36.5,49,0.0244274427315982,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",37,37.5,29,0.0269097548563069,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",38,38.5,53,0.0279609431994613,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",39,39.5,51,0.0379324567570358,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",40,40.5,70,0.0093490886078952,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",41,41.5,68,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",42,42.5,81,0.00655065557247916,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",43,43.5,76,0.0616807192452757,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",44,44.5,68,0.0129637279120393,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",45,45.5,57,0.0491944812265311,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",46,46.5,73,0.0208238168423566,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",47,47.5,69,0.0593371569389637,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",48,48.5,44,0.112065522434075,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",49,49.5,36,0.014780642956426,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",50,50.5,42,0.0293505812981168,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",51,51.5,36,0.0636118576227491,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",52,52.5,49,0.122275357569694,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",53,53.5,38,0.0180381562223596,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",54,54.5,32,0.11045430324037,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",55,55.5,25,0.0723625358117474,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",56,56.5,21,0.0917451403298164,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",57,57.5,14,0.189831222039642,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",58,58.5,13,0.328694401573375,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",59,59.5,13,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",60,60.5,16,0.142966723609284,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",61,61.5,8,0.206682520998769,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",62,62.5,9,0.223251273185114,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",63,63.5,8,0.435457141242491,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",64,64.5,11,0.760404419108914,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",65,65.5,7,0.277984510304515,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",66,66.5,6,0.527615741721234,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",67,67.5,5,0.783568662169114,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",68,68.5,8,0.420039765428179,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",69,69.5,4,0.515633302183318,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",70,70.5,9,0.544045655309992,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",71,71.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",72,72.5,4,0.886544859216311,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",73,73.5,1,1,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",74,74.5,2,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",75,75.5,1,1,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",76,76.5,3,0.117435281140744,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",77,77.5,4,0.568827055877006,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",78,78.5,2,0.5298568686318,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",79,79.5,4,0.555892357910758,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",80,80.5,1,1,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",81,81.5,3,0.527503247953849,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",82,82.5,2,1,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","hypercap_resp_failure","Hypercapnic RF",84,84.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",24,24.5,6,0.269802115674954,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",25,25.5,6,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",26,26.5,11,0.195518846219614,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",27,27.5,9,0.184971097789502,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",28,28.5,8,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",29,29.5,13,0.11541524029408,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",30,30.5,25,0.139251104164058,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",31,31.5,25,0.279705173887163,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",32,32.5,24,0.139696487114991,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",33,33.5,28,0.242878475851534,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",34,34.5,21,0.242601195830994,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",35,35.5,42,0.239208165079047,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",36,36.5,49,0.186804740962825,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",37,37.5,29,0.183155789367451,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",38,38.5,53,0.213260197643033,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",39,39.5,51,0.104997652625269,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",40,40.5,70,0.0630825822195986,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",41,41.5,68,0.0461984805641393,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",42,42.5,81,0.172072574436207,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",43,43.5,76,0.191826600850702,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",44,44.5,68,0.193173222963766,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",45,45.5,57,0.0906783789966414,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",46,46.5,73,0.0525841047882616,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",47,47.5,69,0.126777232054955,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",48,48.5,44,0.112902458828294,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",49,49.5,36,0.0764971776345196,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",50,50.5,42,0.0915933850705744,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",51,51.5,36,0.104850762151227,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",52,52.5,49,0.186798129670138,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",53,53.5,38,0.125985364613216,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",54,54.5,32,0.109462189691167,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",55,55.5,25,0.224303481975758,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",56,56.5,21,0.0882355140644074,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",57,57.5,14,0.10130660059762,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",58,58.5,13,0.156615317576837,1,"20260416_211701","2026-04-16 21:17:01.49828"
