"vbg_co2","age_at_encounter","sex","race_ethnicity","location","encounter_type","eta","SE_eta","var_eta","p","p_LCL","p_UCL","co2_ref","m_used","m_total","outcome","group","run_id","run_ts"
25,62,"Male","0","1","Inpatient",-1.20308543041566,0.0477785578366042,0.00228279058894573,0.23092679039711,0.214715630285947,0.247975405860851,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
25.286432160804,62,"Male","0","1","Inpatient",-1.20609666052421,0.0465473944205652,0.00216665992734366,0.230392430474895,0.214614791764527,0.24696524433566,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
25.572864321608,62,"Male","0","1","Inpatient",-1.20919875158828,0.0453842897339741,0.00205973375465731,0.229842853331475,0.214476203443859,0.245965740554701,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
25.8592964824121,62,"Male","0","1","Inpatient",-1.2123934061307,0.0442898489479223,0.00196159071982977,0.229277839307572,0.214299432176637,0.244976737644767,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
26.1457286432161,62,"Male","0","1","Inpatient",-1.21568232667431,0.0432644036834276,0.00187180862608259,0.228697173303211,0.214084150960168,0.243997981126779,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
26.4321608040201,62,"Male","0","1","Inpatient",-1.21906721574195,0.0423079785703983,0.00178996505071328,0.228100644933014,0.213830150201517,0.243029108183198,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
26.7185929648241,62,"Male","0","1","Inpatient",-1.22254977585645,0.0414202604553486,0.00171563797618892,0.227488048684186,0.213537347871674,0.242069638046497,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
27.0050251256281,62,"Male","0","1","Inpatient",-1.22613170954065,0.0406005718252312,0.00164840643253576,0.226859184077122,0.213205798006007,0.241118964051547,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
27.2914572864322,62,"Male","0","1","Inpatient",-1.22981471931737,0.0398478500175977,0.00158785115102496,0.226213855828614,0.21283569701673,0.240176347886209,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
27.5778894472362,62,"Male","0","1","Inpatient",-1.23360050770947,0.0391606336664057,0.00153355522915442,0.225551874017585,0.212427387335252,0.239240916522376,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
27.8643216080402,62,"Male","0","1","Inpatient",-1.23749077723977,0.0385370575800305,0.00148510480692658,0.224873054253297,0.211981357999749,0.238311662212129,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
28.1507537688442,62,"Male","0","1","Inpatient",-1.2414872304311,0.0379748568716509,0.00144208975442237,0.224177217845972,0.211498241942599,0.237387445794429,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
28.4371859296482,62,"Male","0","1","Inpatient",-1.2455915698063,0.0374713806880828,0.00140410437067123,0.223464191979749,0.210978809903171,0.236467003386861,45,20,20,"imv_proc","VBG","20260415_003149","2026-04-15 00:31:49.347034"
