"block","m","ess","trunc","med_max_smd","max_max_smd","run_id","run_ts"
"ABG weights",20,1499.1696740181,0.010465724751439,0.0967218677714531,0.107896050957272,"20260409_132423","2026-04-09 13:24:23.302076"
"VBG weights",20,1206.97919052068,0.0103806228373702,0.0635449276398748,0.0794414692940423,"20260409_132423","2026-04-09 13:24:23.302076"
"ABG outcomes",20,1499.1696740181,0.010465724751439,0.0967218677714531,0.107896050957272,"20260409_132423","2026-04-09 13:24:23.302076"
"VBG outcomes",20,1206.97919052068,0.0103806228373702,0.0635449276398748,0.0794414692940423,"20260409_132423","2026-04-09 13:24:23.302076"
