"variable","level","type","smd_pre","smd_post","group","imp","run_id","run_ts"
"plt",NA,"numeric",-0.113262536509642,-0.00903536119273645,"ABG",1,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_phos",NA,"numeric",0.0893352795286071,0.0192437938336928,"ABG",1,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_ca",NA,"numeric",-0.245211749911251,-0.0207644881626476,"ABG",1,"20260423_111150","2026-04-23 11:11:50.486947"
"age_at_encounter",NA,"numeric",0.112153426374432,0.0532478997166215,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"sex","Female","factor",-0.07791237142034,-0.0206905874977448,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"sex","Male","factor",0.0779123714203399,0.0206905874977532,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","0","factor",0.0526458942491266,0.014794282090626,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","1","factor",-0.0738401276386432,-0.00510223715480964,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","2","factor",-0.0510207351504762,-0.026474751696592,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","3","factor",0.0132592329728474,-0.000743546993636639,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","4","factor",0.0432910223497279,0.0099484916744449,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","5","factor",-0.00271650504953615,-0.00537677073320283,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","6","factor",0.0312602798265828,0.00246596059143071,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"curr_bmi",NA,"numeric",-0.222529049255827,-0.0546916434290541,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"copd","0","factor",-0.0441619035550022,-0.0233951486740195,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"copd","1","factor",0.0441619035550023,0.0233951486740341,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"asthma","0","factor",0.0637596693350249,0.010771242097779,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"asthma","1","factor",-0.0637596693350249,-0.0107712420977689,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"osa","0","factor",0.0448861582760451,-0.00951624325835491,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"osa","1","factor",-0.0448861582760449,0.00951624325835957,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"chf","0","factor",-0.06258903887772,-0.0294517025917028,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"chf","1","factor",0.06258903887772,0.0294517025917078,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"acute_nmd","0","factor",-0.00784411947443327,-0.00236735165650692,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
