"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","run_id","run_ts"
"ABG","imv_proc","IMV",69,69.5,505,0.246527420825591,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",70,70.5,469,0.279808828258491,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",71,71.5,439,0.299178872914938,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",72,72.5,405,0.251664938166244,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",73,73.5,397,0.333088759315734,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",74,74.5,339,0.246366658587415,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",75,75.5,340,0.278008789074863,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",76,76.5,306,0.279908438299606,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",77,77.5,321,0.333711027362493,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",78,78.5,263,0.313702706911104,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",79,79.5,268,0.308852906385487,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",80,80.5,268,0.287276135271876,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",81,81.5,224,0.342466080299951,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",82,82.5,227,0.235685242632123,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",83,83.5,230,0.338116206664444,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",84,84.5,214,0.269086059493896,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",85,85.5,216,0.403581631046756,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",86,86.5,184,0.376837718743423,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","imv_proc","IMV",87,87.5,149,0.340307696636452,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",21,21.5,62,0.0185048958960119,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",22,22.5,1062,0.0715440265344541,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",23,23.5,1251,0.07644601637841,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",24,24.5,1628,0.0703693012810089,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",25,25.5,1940,0.0746743392318495,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",26,26.5,2366,0.0672755499279281,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",27,27.5,2658,0.0786618435077559,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",28,28.5,3335,0.0779406398075052,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",29,29.5,3728,0.0685798575614485,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",30,30.5,4207,0.0719298811337084,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",31,31.5,4704,0.0703615135112861,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",32,32.5,5763,0.0735567803852838,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",33,33.5,6391,0.0706779696838514,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",34,34.5,7278,0.0727186529182501,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",35,35.5,7625,0.0700004705428152,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",36,36.5,8410,0.062631297205701,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",37,37.5,8458,0.0613948547266239,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",38,38.5,8925,0.0646251808221027,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",39,39.5,8696,0.0731563591775295,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",40,40.5,8424,0.0746122707078035,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",41,41.5,7930,0.0763868354635654,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",42,42.5,7666,0.0725962951785928,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",43,43.5,6757,0.0760927842403885,"20260416_214517","2026-04-16 21:45:17.150084"
"ABG","niv_proc","NIV",44,44.5,6424,0.0861701708698832,"20260416_214517","2026-04-16 21:45:17.150084"
