"group","method_used","n_success","fallback_used","run_id","run_ts"
"ABG","dense_sampled_glm_link",20,FALSE,"20260421_094018","2026-04-21 09:40:18.841212"
"VBG","dense_sampled_glm_link",20,FALSE,"20260421_094018","2026-04-21 09:40:18.841212"
