"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","run_id","run_ts"
"VBG","imv_proc","IMV",73,73.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",74,74.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",75,75.5,5,0.579157033789314,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",76,76.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",77,77.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",78,78.5,4,0.351208943554087,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",79,79.5,1,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",80,80.5,3,0.320568997312622,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",81,81.5,4,0.516285888545729,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",82,82.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",83,83.5,1,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","imv_proc","IMV",85,85.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",24,24.5,6,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",25,25.5,8,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",26,26.5,8,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",27,27.5,6,0.132825447536777,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",28,28.5,10,0.186351670177757,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",29,29.5,13,0.0623982656382279,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",30,30.5,26,0.088905059602379,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",31,31.5,23,0.0301743169906295,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",32,32.5,25,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",33,33.5,28,0.0889765595168492,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",34,34.5,21,0.144897645464432,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",35,35.5,29,0.0547193868409538,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",36,36.5,41,0.105025118028094,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",37,37.5,42,0.012006949656396,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",38,38.5,40,0.105874033570359,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",39,39.5,49,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",40,40.5,63,0.0863527426274978,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",41,41.5,73,0.0116633319638348,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",42,42.5,72,0.0328814081373571,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",43,43.5,61,0.0502149069074326,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",44,44.5,65,0.0363256874356405,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",45,45.5,62,0.0437014343695932,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",46,46.5,61,0.0772829843146342,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",47,47.5,55,0.0416859492876185,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",48,48.5,63,0.134563810622808,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",49,49.5,46,0.060504241345502,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",50,50.5,33,0.0608304728702281,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",51,51.5,38,0.0545409817911405,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",52,52.5,45,0.0412634837495647,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",53,53.5,35,0.0344619955645914,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",54,54.5,35,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",55,55.5,23,0.140866762390576,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",56,56.5,15,0.215325795846196,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",57,57.5,19,0.0815442561090667,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",58,58.5,18,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",59,59.5,16,0.0667562850353755,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",60,60.5,12,0.161583391842339,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",61,61.5,9,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",62,62.5,13,0.196041119576279,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",63,63.5,9,0.276655840444141,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",64,64.5,6,0.281143153715992,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",65,65.5,7,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",66,66.5,3,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",67,67.5,5,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",68,68.5,8,0.415693448132573,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",69,69.5,6,0.719504897477359,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",70,70.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",71,71.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",72,72.5,4,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",73,73.5,2,0.575323326890232,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",74,74.5,2,0.4591490183106,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",75,75.5,5,0.267910411778381,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",76,76.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",77,77.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",78,78.5,4,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",79,79.5,1,1,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",80,80.5,3,0.362608544516263,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",81,81.5,4,0.483714111454271,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",82,82.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",83,83.5,1,1,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","niv_proc","NIV",85,85.5,2,0.553784017622729,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",24,24.5,6,0.0838024444195792,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",25,25.5,8,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",26,26.5,8,0.0879096792330702,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",27,27.5,6,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",28,28.5,10,0.0707495876587413,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",29,29.5,13,0.0901539338352312,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",30,30.5,26,0.304511544397394,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",31,31.5,23,0.208939036426206,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",32,32.5,25,0.0699669510667111,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",33,33.5,28,0.1672830564939,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",34,34.5,21,0.343204602720049,"20260208_095917","2026-02-08 09:59:17.934826"
