"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","n_imp_contrib","run_id","run_ts"
"ABG","death_60d","Death (60d)",66,66.5,604,0.216174658308142,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",67,67.5,569,0.227518648262689,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",68,68.5,564,0.228090108441918,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",69,69.5,505,0.245112546295785,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",70,70.5,469,0.235867313720184,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",71,71.5,439,0.192052681062022,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",72,72.5,405,0.244079588433187,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",73,73.5,397,0.220520755363531,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",74,74.5,339,0.212156056528553,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",75,75.5,340,0.250515967078418,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",76,76.5,306,0.206181461965928,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",77,77.5,321,0.229557444135758,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",78,78.5,263,0.294015013349264,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",79,79.5,268,0.243322779334663,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",80,80.5,268,0.256246275494201,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",81,81.5,224,0.234127399981292,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",82,82.5,227,0.174380003946464,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",83,83.5,230,0.244090420017288,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",84,84.5,214,0.271869918141001,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",85,85.5,216,0.255202529237642,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",86,86.5,184,0.310993515741359,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","death_60d","Death (60d)",87,87.5,149,0.283367473004131,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",21,21.5,62,0.0152215780846244,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",22,22.5,1062,0.0405477879911839,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",23,23.5,1251,0.040184678628133,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",24,24.5,1628,0.0535175690827179,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",25,25.5,1940,0.05257592363628,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",26,26.5,2366,0.0427350463842901,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",27,27.5,2658,0.0461753773525136,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",28,28.5,3335,0.040753545195989,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",29,29.5,3728,0.0439843383975605,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",30,30.5,4207,0.0393329641159025,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",31,31.5,4704,0.0463012763417046,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",32,32.5,5763,0.0454561501901016,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",33,33.5,6391,0.0441073550878311,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",34,34.5,7278,0.0410797017567347,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",35,35.5,7625,0.0414500065296319,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",36,36.5,8410,0.0411716707525031,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",37,37.5,8458,0.0374905063791561,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",38,38.5,8925,0.0416793510199115,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",39,39.5,8696,0.0422259166392784,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",40,40.5,8424,0.0459409468008315,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",41,41.5,7930,0.0478491847966575,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",42,42.5,7666,0.0522344292530956,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",43,43.5,6757,0.0531860665564124,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",44,44.5,6424,0.060423650656292,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",45,45.5,5576,0.0694263690218152,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",46,46.5,5269,0.078495612432825,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",47,47.5,4310,0.0900582713614827,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",48,48.5,4180,0.103307931964624,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",49,49.5,3399,0.115451897007252,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",50,50.5,3217,0.140564188246919,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",51,51.5,2634,0.141363804952253,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",52,52.5,2421,0.165697618893797,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",53,53.5,2173,0.180613498024882,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",54,54.5,1905,0.192210011790148,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",55,55.5,1604,0.23654253422277,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",56,56.5,1498,0.229192456105999,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",57,57.5,1252,0.253950885968548,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",58,58.5,1194,0.318122599765217,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",59,59.5,1110,0.301404201026706,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",60,60.5,989,0.358902256116376,1,"20260410_065559","2026-04-10 06:55:59.257143"
