"group","sample","abs_smd","abs_smd_raw","term","run_id","run_ts"
"ABG","IPW",0.0283167877329913,0.0931956355289368,"Overall (mean |SMD|)","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0931956355289368,0.0931956355289368,"Overall (mean |SMD|)","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0162751404389344,0.0798966783192215,"Overall (mean |SMD|)","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0798966783192215,0.0798966783192215,"Overall (mean |SMD|)","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.000704782133440112,0.000704782133440112,"acute_nmd:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.000704782133440454,0.000704782133440454,"acute_nmd:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.102313426750525,0.102313426750525,"age_at_encounter","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0503453218663232,0.0503453218663232,"asthma:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0503453218663234,0.0503453218663234,"asthma:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0932041457917661,0.0932041457917661,"chf:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0932041457917663,0.0932041457917663,"chf:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0705276043893826,0.0705276043893826,"ckd:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0705276043893827,0.0705276043893827,"ckd:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0790305713985317,0.0790305713985317,"copd:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0790305713985318,0.0790305713985318,"copd:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.25616374530372,0.25616374530372,"curr_bmi","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.169854343819881,0.169854343819881,"dbp","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.000329464694690062,0.000329464694690062,"dm:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.000329464694690062,0.000329464694690062,"dm:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.387662693068114,0.387662693068114,"encounter_type:Emergency","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.387662693068114,0.387662693068114,"encounter_type:Inpatient","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0795551709299443,0.0795551709299443,"hr","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.16701596718465,0.16701596718465,"location:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.12193060030048,0.12193060030048,"location:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0196057600244132,0.0196057600244132,"location:2","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0892644829809222,0.0892644829809222,"location:3","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0300910229847776,0.0300910229847776,"osa:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0300910229847777,0.0300910229847777,"osa:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0655738655188912,0.0655738655188912,"phtn:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0655738655188912,0.0655738655188912,"phtn:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.103132936572248,0.103132936572248,"plt","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0649293245159698,0.0649293245159698,"race_ethnicity:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0603987983285686,0.0603987983285686,"race_ethnicity:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0837762368455568,0.0837762368455568,"race_ethnicity:2","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0264514851222345,0.0264514851222345,"race_ethnicity:3","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0737005711896934,0.0737005711896934,"race_ethnicity:4","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0201701095119465,0.0201701095119465,"race_ethnicity:5","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0112872486940957,0.0112872486940957,"race_ethnicity:6","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.188894576416272,0.188894576416272,"sbp","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.221569267880544,0.221569267880544,"serum_ca","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0285435466198743,0.0285435466198743,"serum_cl","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0453694840378087,0.0453694840378087,"serum_cr","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.140435485109935,0.140435485109935,"serum_hco3","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0356282076660544,0.0356282076660544,"serum_k","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.102843373267695,0.102843373267695,"serum_lac","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.114939706337231,0.114939706337231,"serum_phos","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.107579861650395,0.107579861650395,"sex:Female","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.107579861650395,0.107579861650395,"sex:Male","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0523534327431755,0.0523534327431755,"sodium","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.0802965369423353,0.0802965369423353,"temp_new","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","Raw",0.14967237777163,0.14967237777163,"wbc","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0289783220621287,0.0289783220621287,"acute_nmd:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0289783220621264,0.0289783220621264,"acute_nmd:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0239407562731786,0.0239407562731786,"age_at_encounter","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0408492473991125,0.0408492473991125,"asthma:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0408492473991126,0.0408492473991126,"asthma:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0198093231850456,0.0198093231850456,"chf:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0198093231850457,0.0198093231850457,"chf:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0429748305179236,0.0429748305179236,"ckd:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0429748305179235,0.0429748305179235,"ckd:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.00149475500562621,0.00149475500562621,"copd:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.00149475500562614,0.00149475500562614,"copd:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.204533716484053,0.204533716484053,"curr_bmi","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.104451295368733,0.104451295368733,"dbp","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0860079855663407,0.0860079855663407,"dm:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0860079855663409,0.0860079855663409,"dm:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0213014530790048,0.0213014530790048,"encounter_type:Emergency","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0213014530790048,0.0213014530790048,"encounter_type:Inpatient","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.137058001205418,0.137058001205418,"hr","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.325580101149538,0.325580101149538,"location:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.373387522276711,0.373387522276711,"location:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0736961949864612,0.0736961949864612,"location:2","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.048109863660012,0.048109863660012,"location:3","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0266134122443229,0.0266134122443229,"osa:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.026613412244323,0.026613412244323,"osa:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0444794777247457,0.0444794777247457,"phtn:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0444794777247456,0.0444794777247456,"phtn:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0342894398894023,0.0342894398894023,"plt","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.213841900067109,0.213841900067109,"race_ethnicity:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0389152834645858,0.0389152834645858,"race_ethnicity:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0555915125930023,0.0555915125930023,"race_ethnicity:2","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0320842696149992,0.0320842696149992,"race_ethnicity:3","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.107807457828638,0.107807457828638,"race_ethnicity:4","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0124847786444402,0.0124847786444402,"race_ethnicity:5","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.202379128285039,0.202379128285039,"race_ethnicity:6","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.143916717223416,0.143916717223416,"sbp","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.00942469909414686,0.00942469909414686,"serum_ca","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.16129998208369,0.16129998208369,"serum_cl","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0937380576979789,0.0937380576979789,"serum_cr","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0563184268964804,0.0563184268964804,"serum_hco3","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0921119683923725,0.0921119683923725,"serum_k","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.146677940501961,0.146677940501961,"serum_lac","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.109867011769416,0.109867011769416,"serum_phos","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0740170845802793,0.0740170845802793,"sex:Female","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0740170845802792,0.0740170845802792,"sex:Male","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.100282351546211,0.100282351546211,"sodium","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0639659727958425,0.0639659727958425,"temp_new","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","Raw",0.0163377484815182,0.0163377484815182,"wbc","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.00452690408721512,0.000704782133440112,"acute_nmd:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.00452690408721348,0.000704782133440454,"acute_nmd:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0617615484676175,0.102313426750525,"age_at_encounter","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0144589768832399,0.0503453218663232,"asthma:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0144589768832404,0.0503453218663234,"asthma:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0284676544840357,0.0932041457917661,"chf:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0284676544840349,0.0932041457917663,"chf:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0356111159438132,0.0705276043893826,"ckd:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0356111159438137,0.0705276043893827,"ckd:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0252524579621978,0.0790305713985317,"copd:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.025252457962199,0.0790305713985318,"copd:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0722637003984359,0.25616374530372,"curr_bmi","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.044076622069792,0.169854343819881,"dbp","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.00735418042990185,0.000329464694690062,"dm:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.00735418042990123,0.000329464694690062,"dm:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0953670650105243,0.387662693068114,"encounter_type:Emergency","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0953670650105255,0.387662693068114,"encounter_type:Inpatient","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0288724559621745,0.0795551709299443,"hr","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.091282760401073,0.16701596718465,"location:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0908788630202572,0.12193060030048,"location:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.032705189956089,0.0196057600244132,"location:2","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.00535756449027929,0.0892644829809222,"location:3","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0194629378470935,0.0300910229847776,"osa:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0194629378470947,0.0300910229847777,"osa:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0241339149874354,0.0655738655188912,"phtn:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0241339149874369,0.0655738655188912,"phtn:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.00616073326959536,0.103132936572248,"plt","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0038644437073488,0.0649293245159698,"race_ethnicity:0","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.00513123995310313,0.0603987983285686,"race_ethnicity:1","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0342538857332897,0.0837762368455568,"race_ethnicity:2","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0132254727634246,0.0264514851222345,"race_ethnicity:3","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0108094418277903,0.0737005711896934,"race_ethnicity:4","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0068781561242141,0.0201701095119465,"race_ethnicity:5","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0378233217072918,0.0112872486940957,"race_ethnicity:6","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.030630130424053,0.188894576416272,"sbp","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0313905962147114,0.221569267880544,"serum_ca","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0135862674079875,0.0285435466198743,"serum_cl","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0449088703703436,0.0453694840378087,"serum_cr","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0138145369709685,0.140435485109935,"serum_hco3","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0375257238018189,0.0356282076660544,"serum_k","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0159290991962629,0.102843373267695,"serum_lac","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0219697444430248,0.114939706337231,"serum_phos","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.00950396354216406,0.107579861650395,"sex:Female","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.00950396354216445,0.107579861650395,"sex:Male","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0108019562092807,0.0523534327431755,"sodium","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.00628694150593031,0.0802965369423353,"temp_new","20260409_132423","2026-04-09 13:24:23.302076"
"ABG","IPW",0.0304214146991879,0.14967237777163,"wbc","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0027650526929567,0.0289783220621287,"acute_nmd:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00276505269295788,0.0289783220621264,"acute_nmd:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0330235548094729,0.0239407562731786,"age_at_encounter","20260409_132423","2026-04-09 13:24:23.302076"
