"plot","reason","n_dropped","n_before","n_after","stage","extra","run_id","run_ts"
"shap-top10-ipw-gbm-abg-vbg","duplicate_figure",1,NA,NA,"plot_registry","/Users/blocke/Box Sync/Residency Personal Files/Scholarly Work/Locke Research Projects/abg-vbg-project/Results/figs/shap-top10-ipw-gbm-abg-vbg.png","20260415_003149","2026-04-15 00:31:49.347034"
"shap-top10-mi-logistic-abg-vbg","duplicate_figure",1,NA,NA,"plot_registry","/Users/blocke/Box Sync/Residency Personal Files/Scholarly Work/Locke Research Projects/abg-vbg-project/Results/figs/shap-top10-mi-logistic-abg-vbg.png","20260415_003149","2026-04-15 00:31:49.347034"
