"group","med","iqr","max","run_id","run_ts"
"ABG",0.0897561981099601,0.000612973872659794,0.0909584274596564,"20260208_102357","2026-02-08 10:23:57.345274"
"VBG",0.0407632005012492,0.000865345120504478,0.0426420896261759,"20260208_102357","2026-02-08 10:23:57.345274"
