"group","outcome","co2_scale","co2_value","vbg_co2","probability_method","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","co2_ref","run_id","run_ts"
"VBG","death_60d","vbg_co2",24,24,"common_source_marginal_standardized",-2.69912020538849,0.148512945260463,0.0070565503619588,0.0631964722478709,20,20,5175,1000,1000,0.15592232314052,0.394870007901993,0.0630252906896657,0.0300883940767435,0.127285598233838,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",24.308462325053,24.308462325053,"common_source_marginal_standardized",-2.65942242819272,0.136509752710978,0.00663824402086976,0.065576370368739,20,20,5175,1000,1000,0.143479908932891,0.378787419185077,0.0654106327312347,0.0322378296089021,0.128196581012686,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",24.616924650106,24.616924650106,"common_source_marginal_standardized",-2.62047728688008,0.125397285664983,0.00626231320441937,0.0679928882751423,20,20,5175,1000,1000,0.131972714529623,0.363280490158256,0.0678321080659837,0.0344726874498296,0.129155364979557,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",24.925386975159,24.925386975159,"common_source_marginal_standardized",-2.58230118270385,0.115138845032949,0.00592649751035554,0.0704425424150586,20,20,5175,1000,1000,0.121361667418823,0.348370015097199,0.0702862088977463,0.0367878375542601,0.130165533157297,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",25.233849300212,25.233849300212,"common_source_marginal_standardized",-2.54491025139087,0.105697334159227,0.0056285317026715,0.07292158049519,20,20,5175,1000,1000,0.111607292447032,0.334076776276101,0.0727691642130501,0.0391769863007218,0.131230813955631,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",25.542311625265,25.542311625265,"common_source_marginal_standardized",-2.50832036933188,0.0970353708051843,0.005366152114694,0.075425987194532,20,20,5175,1000,1000,0.102669830525613,0.32042133281917,0.0752769457466125,0.0416326604827588,0.132355043781034,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",25.850773950318,25.850773950318,"common_source_marginal_standardized",-2.47254716128179,0.0891153978989404,0.00513710286578792,0.0779514915502797,20,20,5175,1000,1000,0.0945093559080177,0.307423739987688,0.0778052755391893,0.0441462180477142,0.133542112365947,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",26.159236275371,26.159236275371,"common_source_marginal_standardized",-2.43760600953109,0.081899792368356,0.00493914186354009,0.0804935759819633,20,20,5175,1000,1000,0.0870858913250731,0.295103187588804,0.0803496350508806,0.0467078906497817,0.134795886986173,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",26.467698600424,26.467698600424,"common_source_marginal_standardized",-2.4035120644975,0.0753509714302722,0.00477004656771603,0.0830474869025687,20,20,5175,1000,1000,0.080359520326374,0.28347754818746,0.0829052757775773,0.0493068628695791,0.136120111780776,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",26.776160925477,26.776160925477,"common_source_marginal_standardized",-2.37028025667558,0.0694314957757951,0.00462761949700597,0.0856082468493377,20,20,5175,1000,1000,0.0742904962476514,0.272562829908356,0.0854672313039045,0.0519313922381272,0.137518278896731,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
