"term","estimate","SE","LCL","UCL","m_used","m_total","outcome","group","run_id","run_ts"
"location3",1.13639429365094,0.330692899228069,0.488236211163924,1.78455237613796,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"encounter_typeInpatient",1.64931280140081,0.30219195101397,1.05701657741343,2.24160902538819,80,80,"niv_proc","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"(Intercept)",-3.04182687156664,0.85511757834012,-4.71785732511328,-1.36579641802001,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)1",-2.1862461884438,0.749986798824266,-3.65622031413936,-0.716272062748234,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)2",-0.929023880723505,0.775265891328426,-2.44854502772722,0.590497266280209,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)3",-1.2697425612447,1.79819325970574,-4.79420135026795,2.25471622777855,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)4",1.46385556777599,1.47774678842089,-1.43252813752896,4.36023927308093,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"age_at_encounter",0.0354912941581213,0.00645459381400644,0.0228402902826686,0.0481422980335739,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"sexMale",0.463527132686771,0.204465656710291,0.0627744455346009,0.864279819838941,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity1",0.0524626599579459,0.257752200335737,-0.4527316527001,0.557656972615991,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity2",0.00577614920368511,0.425136700771155,-0.827491784307778,0.839044082715148,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity3",-1.54594714715355,1.04558594460622,-3.59529559858174,0.503401304274648,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity4",-0.705643520350696,0.856899008613461,-2.38516557723308,0.973878536531687,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity5",-11.401752550452,1.0993031091379,-13.5563866443623,-9.24711845654169,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity6",-0.726539662969407,0.313025061577052,-1.34006878366043,-0.113010542278384,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"location1",0.00911919996395838,0.218550500541525,-0.41923978109743,0.437478181025347,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"location2",0.0112082435636217,0.320086373939542,-0.616161049357881,0.638577536485125,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"location3",-0.167184330197992,0.323356482917999,-0.800963036717271,0.466594376321286,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"encounter_typeInpatient",0.353345895232948,0.225631298036612,-0.0888914489188122,0.795583239384708,80,80,"death_60d","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"(Intercept)",-5.33306037971228,1.41664389183495,-8.10968240770879,-2.55643835171577,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)1",-0.135141848636814,1.11931269678403,-2.32899473433352,2.05871103705989,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)2",7.9088077815944,1.2120509055106,5.53318800679361,10.2844275563952,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)3",3.80540333730023,2.58282369260234,-1.25693110020035,8.86773777480082,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"splines::ns(vbg_co2, 4)4",-1.86911836433986,2.86375052866772,-7.48206940052858,3.74383267184887,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"age_at_encounter",0.00892916046029385,0.00787683952334847,-0.00650944500546916,0.0243677659260569,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"sexMale",-0.122572037620542,0.267901709303672,-0.647659387855739,0.402515312614655,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity1",0.171131476518096,0.338388023438381,-0.49210904942113,0.834372002457323,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity2",-0.766423881876715,0.586774630869441,-1.91650215838082,0.383654394627389,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity3",-1.17561315339094,0.620207247474076,-2.39121935844013,0.0399930516582474,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity4",-13.8450757941006,0.383976070776469,-14.5976688928225,-13.0924826953787,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity5",-14.2501332524916,1.17331788513424,-16.5498363073547,-11.9504301976285,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"race_ethnicity6",-0.343463496885639,0.351755966517477,-1.03290519125989,0.345978197488615,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"location1",0.273203527480593,0.333955982211917,-0.381350197654765,0.927757252615951,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"location2",0.58656743110312,0.396256996379842,-0.190096281801371,1.36323114400761,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"location3",1.52235838454048,0.408461716517501,0.721773420166181,2.32294334891478,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
"encounter_typeInpatient",0.776993673694536,0.313839978698352,0.161867315445766,1.39212003194331,80,80,"hypercap_resp_failure","VBG","20260301_131122","2026-03-01 13:11:22.14127"
