"stage","component","analysis_variant","model_type","group","outcome","imputation","n_used","events","converged","iter","sep_flag","nonconv_flag","min_phat","max_phat","warning_n","top_warning","error_message","run_id","run_ts"
"outcome","spline","ipw","spline","ABG","death_60d",NA,93787,16405,TRUE,5,FALSE,FALSE,0.00284105765194703,0.646281961314398,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","spline","ipw","spline","ABG","hypercap_resp_failure",NA,93787,10155,TRUE,6,TRUE,FALSE,8.13894996756472e-12,0.772368859345816,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","spline","ipw","spline","ABG","imv_proc",NA,93787,24097,TRUE,4,FALSE,FALSE,0.0499999306507846,0.684317056672433,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","spline","ipw","spline","ABG","niv_proc",NA,93787,9592,TRUE,6,TRUE,FALSE,4.76539404703349e-08,0.747646216912564,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","spline","ipw","spline","ABG","death_60d",NA,93787,16405,TRUE,5,FALSE,FALSE,0.00284105765194703,0.646281961314398,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","spline","ipw","spline","ABG","hypercap_resp_failure",NA,93787,10155,TRUE,6,TRUE,FALSE,8.13894996756472e-12,0.772368859345816,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","spline","ipw","spline","VBG","imv_proc",NA,74950,11724,TRUE,5,FALSE,FALSE,0.0147162223397659,0.804675315628941,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","spline","ipw","spline","VBG","niv_proc",NA,74950,5395,TRUE,6,FALSE,FALSE,6.59012072728075e-05,0.768956656737851,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","spline","ipw","spline","VBG","death_60d",NA,74950,10240,TRUE,5,FALSE,FALSE,0.00834724730514497,0.561801184416099,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","spline","ipw","spline","VBG","hypercap_resp_failure",NA,74950,6638,TRUE,6,FALSE,FALSE,7.65762644086342e-05,0.912152162749615,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","ipw","cat3","ABG","imv_proc",NA,93787,24097,TRUE,4,FALSE,FALSE,0.050965924336019,0.51848479774452,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","ipw","cat3","ABG","niv_proc",NA,93787,9592,TRUE,6,FALSE,FALSE,0.00122959386874579,0.545725199446492,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","ipw","cat3","ABG","death_60d",NA,93787,16405,TRUE,5,FALSE,FALSE,0.0159222901098776,0.492539330809022,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","ipw","cat3","ABG","hypercap_resp_failure",NA,93787,10155,TRUE,5,FALSE,FALSE,0.00844108007139312,0.491153074379567,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","ipw","cat3","VBG","imv_proc",NA,74950,11724,TRUE,5,FALSE,FALSE,0.0143309015592666,0.504534983348224,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","ipw","cat3","VBG","niv_proc",NA,74950,5395,TRUE,6,FALSE,FALSE,0.00141535633272083,0.558180323399948,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","ipw","cat3","VBG","death_60d",NA,74950,10240,TRUE,5,FALSE,FALSE,0.00924891220130657,0.443468567374072,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","ipw","cat3","VBG","hypercap_resp_failure",NA,74950,6638,TRUE,6,FALSE,FALSE,0.00457731949151495,0.552179815871631,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","imv_proc",1,93787,24097,TRUE,4,FALSE,FALSE,0.0398563622385704,0.542006875518854,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","imv_proc",1,74950,11724,TRUE,5,FALSE,FALSE,0.0137751527147561,0.491863771817744,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","imv_proc",1,93787,24097,TRUE,4,FALSE,FALSE,0.0676271434064462,0.541390773516451,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","imv_proc",1,74950,11724,TRUE,5,FALSE,FALSE,0.0169974375924436,0.473031317799526,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","niv_proc",1,93787,9592,TRUE,6,FALSE,FALSE,0.00129128340330046,0.591317395273255,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","niv_proc",1,74950,5395,TRUE,6,FALSE,FALSE,0.00117803952330788,0.562121691199471,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","niv_proc",1,93787,9592,TRUE,6,FALSE,FALSE,0.00187669408349385,0.535295192736853,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","niv_proc",1,74950,5395,TRUE,6,FALSE,FALSE,0.00108973384066865,0.550952075836199,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","death_60d",1,93787,16405,TRUE,5,FALSE,FALSE,0.0110511266328791,0.509875694555776,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","death_60d",1,74950,10240,TRUE,5,FALSE,FALSE,0.00650605206609788,0.436099921147528,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","death_60d",1,93787,16405,TRUE,5,FALSE,FALSE,0.0213613413365094,0.525697559128153,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","death_60d",1,74950,10240,TRUE,5,FALSE,FALSE,0.0100463717829337,0.464841961633335,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","hypercap_resp_failure",1,93787,10155,TRUE,5,FALSE,FALSE,0.00698682823039526,0.535766231790565,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","hypercap_resp_failure",1,74950,6638,TRUE,6,FALSE,FALSE,0.00375019323183697,0.566389653989307,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","hypercap_resp_failure",1,93787,10155,TRUE,5,FALSE,FALSE,0.0116019436420916,0.43663595096073,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","hypercap_resp_failure",1,74950,6638,TRUE,6,FALSE,FALSE,0.00386669914163105,0.562988759636862,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","imv_proc",2,93787,24097,TRUE,4,FALSE,FALSE,0.0406672242753688,0.540023208192523,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","imv_proc",2,74950,11724,TRUE,5,FALSE,FALSE,0.0138327143603935,0.49876290486202,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","imv_proc",2,93787,24097,TRUE,4,FALSE,FALSE,0.0676271434064462,0.541390773516451,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","imv_proc",2,74950,11724,TRUE,5,FALSE,FALSE,0.0169974375924436,0.473031317799526,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","niv_proc",2,93787,9592,TRUE,6,FALSE,FALSE,0.00129841433012182,0.614966433291045,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","niv_proc",2,74950,5395,TRUE,6,FALSE,FALSE,0.00122450053889246,0.561588464787195,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","niv_proc",2,93787,9592,TRUE,6,FALSE,FALSE,0.00187669408349385,0.535295192736853,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","niv_proc",2,74950,5395,TRUE,6,FALSE,FALSE,0.00108973384066865,0.550952075836199,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","death_60d",2,93787,16405,TRUE,5,FALSE,FALSE,0.0111220010367891,0.513810104024625,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","death_60d",2,74950,10240,TRUE,5,FALSE,FALSE,0.00676960186566999,0.427584891595841,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","death_60d",2,93787,16405,TRUE,5,FALSE,FALSE,0.0213613413365094,0.525697559128153,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","death_60d",2,74950,10240,TRUE,5,FALSE,FALSE,0.0100463717829337,0.464841961633335,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","hypercap_resp_failure",2,93787,10155,TRUE,5,FALSE,FALSE,0.00666195373297436,0.540898589392032,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","hypercap_resp_failure",2,74950,6638,TRUE,6,FALSE,FALSE,0.00392389002049431,0.562517129772601,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","hypercap_resp_failure",2,93787,10155,TRUE,5,FALSE,FALSE,0.0116019436420916,0.43663595096073,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","hypercap_resp_failure",2,74950,6638,TRUE,6,FALSE,FALSE,0.00386669914163105,0.562988759636862,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","imv_proc",3,93787,24097,TRUE,4,FALSE,FALSE,0.039873688009639,0.538144338261415,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","imv_proc",3,74950,11724,TRUE,5,FALSE,FALSE,0.0136524008839861,0.506890601551231,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","imv_proc",3,93787,24097,TRUE,4,FALSE,FALSE,0.0676271434064462,0.541390773516451,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","imv_proc",3,74950,11724,TRUE,5,FALSE,FALSE,0.0169974375924436,0.473031317799526,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","niv_proc",3,93787,9592,TRUE,6,FALSE,FALSE,0.00132994929966276,0.587926583019543,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","niv_proc",3,74950,5395,TRUE,6,FALSE,FALSE,0.00119420824659832,0.568809840436403,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","niv_proc",3,93787,9592,TRUE,6,FALSE,FALSE,0.00187669408349385,0.535295192736853,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","niv_proc",3,74950,5395,TRUE,6,FALSE,FALSE,0.00108973384066865,0.550952075836199,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","death_60d",3,93787,16405,TRUE,5,FALSE,FALSE,0.0108834140884144,0.511343407274734,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","death_60d",3,74950,10240,TRUE,5,FALSE,FALSE,0.00656196810115864,0.433775744350808,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","death_60d",3,93787,16405,TRUE,5,FALSE,FALSE,0.0213613413365094,0.525697559128153,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","death_60d",3,74950,10240,TRUE,5,FALSE,FALSE,0.0100463717829337,0.464841961633335,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","hypercap_resp_failure",3,93787,10155,TRUE,5,FALSE,FALSE,0.00662919488139569,0.536651931607477,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","hypercap_resp_failure",3,74950,6638,TRUE,6,FALSE,FALSE,0.00384552342994731,0.559345493316655,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","hypercap_resp_failure",3,93787,10155,TRUE,5,FALSE,FALSE,0.0116019436420916,0.43663595096073,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","hypercap_resp_failure",3,74950,6638,TRUE,6,FALSE,FALSE,0.00386669914163105,0.562988759636862,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","imv_proc",4,93787,24097,TRUE,4,FALSE,FALSE,0.0397388439684109,0.544301455222398,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","imv_proc",4,74950,11724,TRUE,5,FALSE,FALSE,0.0136432954814976,0.522684766313657,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","imv_proc",4,93787,24097,TRUE,4,FALSE,FALSE,0.0676271434064462,0.541390773516451,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","imv_proc",4,74950,11724,TRUE,5,FALSE,FALSE,0.0169974375924436,0.473031317799526,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","niv_proc",4,93787,9592,TRUE,6,FALSE,FALSE,0.00135001354419827,0.588579092360588,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","niv_proc",4,74950,5395,TRUE,6,FALSE,FALSE,0.00116635649024738,0.565228981015299,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","niv_proc",4,93787,9592,TRUE,6,FALSE,FALSE,0.00187669408349385,0.535295192736853,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","niv_proc",4,74950,5395,TRUE,6,FALSE,FALSE,0.00108973384066865,0.550952075836199,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","death_60d",4,93787,16405,TRUE,5,FALSE,FALSE,0.0111352121113531,0.509167796572848,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","death_60d",4,74950,10240,TRUE,5,FALSE,FALSE,0.00673314691781907,0.433811750176068,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","death_60d",4,93787,16405,TRUE,5,FALSE,FALSE,0.0213613413365094,0.525697559128153,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","death_60d",4,74950,10240,TRUE,5,FALSE,FALSE,0.0100463717829337,0.464841961633335,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","hypercap_resp_failure",4,93787,10155,TRUE,5,FALSE,FALSE,0.00681827378648068,0.539213379557477,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","hypercap_resp_failure",4,74950,6638,TRUE,6,FALSE,FALSE,0.00385217921492638,0.561612188548134,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","hypercap_resp_failure",4,93787,10155,TRUE,5,FALSE,FALSE,0.0116019436420916,0.43663595096073,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","hypercap_resp_failure",4,74950,6638,TRUE,6,FALSE,FALSE,0.00386669914163105,0.562988759636862,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","imv_proc",5,93787,24097,TRUE,4,FALSE,FALSE,0.0394660602643487,0.541939234733055,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","imv_proc",5,74950,11724,TRUE,5,FALSE,FALSE,0.0138479505560201,0.487728982535738,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","imv_proc",5,93787,24097,TRUE,4,FALSE,FALSE,0.0676271434064462,0.541390773516451,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","imv_proc",5,74950,11724,TRUE,5,FALSE,FALSE,0.0169974375924436,0.473031317799526,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","niv_proc",5,93787,9592,TRUE,6,FALSE,FALSE,0.00132429062287984,0.589835615146788,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","niv_proc",5,74950,5395,TRUE,6,FALSE,FALSE,0.00117062098654128,0.567542078892449,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","niv_proc",5,93787,9592,TRUE,6,FALSE,FALSE,0.00187669408349385,0.535295192736853,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","niv_proc",5,74950,5395,TRUE,6,FALSE,FALSE,0.00108973384066865,0.550952075836199,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","death_60d",5,93787,16405,TRUE,5,FALSE,FALSE,0.0110809270931128,0.513060915284006,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","death_60d",5,74950,10240,TRUE,5,FALSE,FALSE,0.00649935396178784,0.432830108500745,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","ABG","death_60d",5,93787,16405,TRUE,5,FALSE,FALSE,0.0213613413365094,0.525697559128153,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_unweighted","cat3","VBG","death_60d",5,74950,10240,TRUE,5,FALSE,FALSE,0.0100463717829337,0.464841961633335,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","ABG","hypercap_resp_failure",5,93787,10155,TRUE,5,FALSE,FALSE,0.00667975761363875,0.539278660150939,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
"outcome","cat3","mi_ipw","cat3","VBG","hypercap_resp_failure",5,74950,6638,TRUE,6,FALSE,FALSE,0.00364664946420878,0.568289056411668,0,NA,NA,"20260415_003149","2026-04-15 00:31:49.347034"
