"term","estimate","SE","LCL","UCL","m_used","m_total","outcome","group","run_id","run_ts"
"encounter_typeInpatient",0.781005603094246,0.0258936221832134,0.730254103615148,0.831757102573344,80,80,"niv_proc","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"(Intercept)",-3.01486250239669,0.115374690158548,-3.24099689510745,-2.78872810968594,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)1",-2.13887159633894,0.107255996569635,-2.34909334961543,-1.92864984306246,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)2",0.872251541714874,0.101580198528575,0.673154352598867,1.07134873083088,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)3",-2.75431559862909,0.259427355582329,-3.26279321557046,-2.24583798168773,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)4",-3.80647813542136,0.2973345119039,-4.389253778753,-3.22370249208971,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"age_at_encounter",0.036580107216581,0.000540188429260368,0.0355213378952307,0.0376388765379313,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"sexMale",0.158597125981051,0.0147996116585131,0.129589887130366,0.187604364831737,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity1",0.136777930729193,0.0224909193431937,0.0926957288165339,0.180860132641853,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity2",0.114493395494939,0.0350363103302383,0.0458222272476724,0.183164563742207,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity3",-0.0161509588137752,0.0525387977350023,-0.11912700237438,0.0868250847468293,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity4",-0.22437630969943,0.0715577022542382,-0.364629406117737,-0.0841232132811233,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity5",-0.250876053501094,0.216107875633461,-0.674447489742677,0.17269538274049,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity6",-0.201456685165192,0.0252058564599944,-0.250860163826781,-0.152053206503603,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"location1",0.431483434759303,0.0189168036704948,0.394406499565133,0.468560369953473,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"location2",0.328687489069915,0.025117273947849,0.279457632132131,0.377917346007699,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"location3",0.31112617165285,0.0233065719326968,0.265445290664764,0.356807052640935,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"encounter_typeInpatient",0.380342742176299,0.0220400461374529,0.337144251746892,0.423541232605707,80,80,"death_60d","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"(Intercept)",-4.44187832619759,0.233027017340232,-4.89861128018444,-3.98514537221073,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)1",-0.234591486475594,0.222690606059924,-0.671065074353046,0.201882101401857,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)2",10.3338957221289,0.205812091429158,9.93050402292774,10.73728742133,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)3",-7.06860135467467,0.584647766003856,-8.21451097604223,-5.92269173330711,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"splines::ns(paco2, 4)4",-23.2472141558374,1.03971130505566,-25.2850483137465,-21.2093799979283,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"age_at_encounter",0.00985532175864126,0.000600052925686168,0.00867921802429637,0.0110314254929862,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"sexMale",-0.0589916807310254,0.0193093555762949,-0.0968380176605634,-0.0211453438014875,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity1",0.2509290506658,0.0283762026220373,0.195311693526607,0.306546407804993,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity2",-0.164527463771489,0.0490285693728802,-0.260623459742335,-0.0684314678006442,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity3",-0.252488301071171,0.0752374982765106,-0.399953797693132,-0.10502280444921,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity4",-0.54807700182565,0.104021765575211,-0.751959662353063,-0.344194341298236,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity5",0.230640290549296,0.23312899170895,-0.226292533200246,0.687573114298837,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"race_ethnicity6",-0.0723080460320278,0.0314427876499572,-0.133935909825944,-0.0106801822381116,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"location1",0.0391931306034234,0.0265668157436472,-0.0128778282541251,0.0912640894609718,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"location2",-0.15260245117424,0.0350382490473914,-0.221277419307128,-0.0839274830413532,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"location3",0.791137359361317,0.0281386698869298,0.735985566382935,0.846289152339699,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
"encounter_typeInpatient",0.953014626018032,0.0292283237552236,0.895727111457794,1.01030214057827,80,80,"hypercap_resp_failure","ABG","20260419_112645","2026-04-19 11:26:45.267227"
