"level","variable","pct_missing","stratum","pct_missing_overall","run_id","run_ts"
"0","paco2",100,"has_abg",63.7861674145134,"20260204_140017","2026-02-04 14:00:17.499946"
"1","paco2",0,"has_abg",63.7861674145134,"20260204_140017","2026-02-04 14:00:17.499946"
"0","paco2",64.0930839495433,"has_vbg",63.7861674145134,"20260204_140017","2026-02-04 14:00:17.499946"
"1","paco2",63.029490616622,"has_vbg",63.7861674145134,"20260204_140017","2026-02-04 14:00:17.499946"
"0","paco2",69.6411462416166,"imv_proc",63.7861674145134,"20260204_140017","2026-02-04 14:00:17.499946"
"1","paco2",17.2664359861592,"imv_proc",63.7861674145134,"20260204_140017","2026-02-04 14:00:17.499946"
"0","paco2",57.3806972719031,"location",63.7861674145134,"20260204_140017","2026-02-04 14:00:17.499946"
"1","paco2",71.9944937289691,"location",63.7861674145134,"20260204_140017","2026-02-04 14:00:17.499946"
"2","paco2",59.3457943925234,"location",63.7861674145134,"20260204_140017","2026-02-04 14:00:17.499946"
"3","paco2",69.9904852521408,"location",63.7861674145134,"20260204_140017","2026-02-04 14:00:17.499946"
"2","serum_lac",72.6310839407477,"encounter_type",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"3","serum_lac",54.1508128675199,"encounter_type",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"0","serum_lac",72.1892055791389,"has_abg",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"1","serum_lac",39.1689809869686,"has_abg",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"0","serum_lac",64.9358416702914,"has_vbg",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"1","serum_lac",48.6327077747989,"has_vbg",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"0","serum_lac",63.5615364515286,"imv_proc",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"1","serum_lac",33.7716262975779,"imv_proc",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"0","serum_lac",56.5894667435919,"location",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"1","serum_lac",56.6840012236158,"location",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"2","serum_lac",52.7518172377985,"location",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"3","serum_lac",75.7944814462417,"location",60.2313167259786,"20260204_140017","2026-02-04 14:00:17.499946"
"2","curr_bmi",41.4178227133788,"encounter_type",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"3","curr_bmi",64.5682001614205,"encounter_type",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"0","curr_bmi",55.9308671922377,"has_abg",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"1","curr_bmi",58.7481307412946,"has_abg",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"0","curr_bmi",52.6913875598086,"has_vbg",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"1","curr_bmi",67.4530831099196,"has_vbg",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"0","curr_bmi",55.7660482536364,"imv_proc",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"1","curr_bmi",66.3667820069204,"imv_proc",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"0","curr_bmi",66.2902827000742,"location",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"1","curr_bmi",64.8363413888039,"location",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"2","curr_bmi",50.5711318795431,"location",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"3","curr_bmi",27.9162702188392,"location",56.9511062973851,"20260204_140017","2026-02-04 14:00:17.499946"
"2","serum_phos",84.505055255114,"encounter_type",53.2337923564908,"20260204_140017","2026-02-04 14:00:17.499946"
"3","serum_phos",37.8992274876052,"encounter_type",53.2337923564908,"20260204_140017","2026-02-04 14:00:17.499946"
"0","serum_phos",64.7847180109157,"has_abg",53.2337923564908,"20260204_140017","2026-02-04 14:00:17.499946"
"1","serum_phos",32.8882717368084,"has_abg",53.2337923564908,"20260204_140017","2026-02-04 14:00:17.499946"
"0","serum_phos",58.5308829926055,"has_vbg",53.2337923564908,"20260204_140017","2026-02-04 14:00:17.499946"
"1","serum_phos",40.1742627345844,"has_vbg",53.2337923564908,"20260204_140017","2026-02-04 14:00:17.499946"
"0","serum_phos",57.3338559358941,"imv_proc",53.2337923564908,"20260204_140017","2026-02-04 14:00:17.499946"
