"component","metric","status","severity","value","note","run_id","run_ts"
"Audit","overall_status","fail","high","FAIL","Overall diagnostics audit status derived from the highest-severity unresolved issue.","20260423_111150","2026-04-23 11:11:50.486947"
"Outcome","separation_flags_total","fail","high","172","Separation or near-separation can bias ORs and confidence intervals.","20260423_111150","2026-04-23 11:11:50.486947"
"Inventory","expected_artifacts_missing","pass","none","0","Count of expected diagnostics artifacts missing from Results/.","20260423_111150","2026-04-23 11:11:50.486947"
"MI","smoke_test_failed","pass","none","FALSE","Smoke test failure indicates the MI execution path is unstable.","20260423_111150","2026-04-23 11:11:50.486947"
"MI","chain_diagnostics_issue","pass","none","FALSE","numeric_names=FALSE; drift_tail_na_frac=0.000","20260423_111150","2026-04-23 11:11:50.486947"
"Balance","abg_max_abs_smd","pass","none","0.091","ABG target balance threshold is 0.10.","20260423_111150","2026-04-23 11:11:50.486947"
"Balance","vbg_max_abs_smd","pass","none","0.045","VBG target balance threshold is 0.10.","20260423_111150","2026-04-23 11:11:50.486947"
"Plotting","plot_drop_log_present","pass","none","TRUE","Plot drop logging should exist even if no rows are present.","20260423_111150","2026-04-23 11:11:50.486947"
