"setting_var","setting_level","outcome","outcome_var","group","co2_level","co2_value","n_setting_total","n_setting_abg","n_setting_vbg","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","component_status","reason","run_id","run_ts"
"location","0","IMV","imv_proc","ABG","Normal",40,2431,1057,444,-1.71301632897795,0.011869193126229,0.000973119724447237,0.152814460240639,20,20,2431,1000,1000,0.0128909688368986,0.113538402476425,0.152772893209911,0.126137374451933,0.18384953390699,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","0","IMV","imv_proc","VBG","High",50,2431,1057,444,-1.92455093483772,0.0307956701810741,0.00301722696519941,0.127473841448512,20,20,2431,1000,1000,0.0339637584945335,0.184292589364124,0.127354936876187,0.0923088288581049,0.173168264778303,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","0","IMV","imv_proc","VBG","Low",40,2431,1057,444,-1.97723189486062,0.0354763247010773,0.00256134511944895,0.121712636981399,20,20,2431,1000,1000,0.0381657370764987,0.195360531009973,0.12161422894701,0.0862632742246258,0.168776233899147,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","0","IMV","imv_proc","VBG","Normal",45,2431,1057,444,-2.00848121410852,0.0357271248820717,0.0037677433385289,0.11845811332718,20,20,2431,1000,1000,0.039683255387527,0.19920656461956,0.11831532088056,0.0832546248707833,0.165475859941951,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","1","IMV","imv_proc","ABG","High",45,1300,379,597,-1.53891864255029,0.0202743352869955,0.00123965937536325,0.176747915746869,20,20,1300,1000,1000,0.0215759776311269,0.146887636073044,0.176692527318243,0.138617727579717,0.222523816371186,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","1","IMV","imv_proc","ABG","Low",35,1300,379,597,-1.25928812182639,0.0214348306472544,0.00175443495832202,0.221176479077105,20,20,1300,1000,1000,0.0232769873534925,0.152567976172893,0.221096462424712,0.173887653603247,0.276827164848352,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","1","IMV","imv_proc","ABG","Normal",40,1300,379,597,-1.5360376673818,0.0213139596760008,0.00132819064369222,0.177171354684212,20,20,1300,1000,1000,0.0227085598518776,0.150693595921916,0.177112019781423,0.138071921082776,0.224317953895992,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","1","IMV","imv_proc","VBG","High",50,1300,379,597,-1.95495622920133,0.0279473826326896,0.00232857133198176,0.124104237951245,20,20,1300,1000,1000,0.0303923825312705,0.174334111783295,0.124013936711107,0.091400696473699,0.166136307460321,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","1","IMV","imv_proc","VBG","Low",40,1300,379,597,-2.00660949031462,0.024876783637685,0.00227439385015722,0.118596501909359,20,20,1300,1000,1000,0.0272648971803501,0.165120856285177,0.118510712660405,0.0886487570773817,0.156702247170176,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","1","IMV","imv_proc","VBG","Normal",45,1300,379,597,-2.03725102047023,0.0329415713843736,0.00307688447194067,0.115461345575046,20,20,1300,1000,1000,0.0361723000799113,0.190190168199913,0.115346947017265,0.0824115221276081,0.159161755272149,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","2","IMV","imv_proc","ABG","High",45,406,160,142,-1.50346903173875,0.0528758633444856,0.00292071911917318,0.182040131303245,20,20,406,406,1000,0.0559426184196174,0.23652191953309,0.181908699921136,0.12270588434654,0.261171977489679,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","2","IMV","imv_proc","ABG","Low",35,406,160,142,-1.22433386784932,0.0483461151989251,0.00244259305640023,0.227285722073498,20,20,406,406,1000,0.0509108379081453,0.225634301266774,0.227174669731598,0.1588810742374,0.313869480850287,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","2","IMV","imv_proc","ABG","Normal",40,406,160,142,-1.50059292022384,0.053049954325366,0.00305299612630582,0.182474589149454,20,20,406,406,1000,0.0562556002579872,0.237182630599264,0.182337108509476,0.122876191897823,0.261977640268269,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","2","IMV","imv_proc","VBG","High",50,406,160,142,-1.73737131001462,0.0633642304697532,0.00199716459494589,0.149732023032726,20,20,406,406,1000,0.0654612532944463,0.255853968690045,0.149647134894953,0.0963160174648132,0.225150886961135,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","2","IMV","imv_proc","VBG","Low",40,406,160,142,-1.78831243279209,0.066508310271308,0.00273653269308426,0.143393429357457,20,20,406,406,1000,0.0693816695990465,0.263404004523558,0.143279748796487,0.0907440037769166,0.218908137891396,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","2","IMV","imv_proc","VBG","Normal",45,406,160,142,-1.81854482972073,0.0713214308832468,0.00279714451894637,0.139723692200605,20,20,406,406,1000,0.0742584326281405,0.272504004792848,0.139608573484735,0.0868551542130605,0.216795897939006,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","3","IMV","imv_proc","ABG","High",45,1038,315,262,-1.51640025375081,0.0316471078501478,0.00132841166355089,0.180051847973442,20,20,1038,1000,1000,0.0330419400968762,0.181774420909203,0.179992212108608,0.133232145894106,0.238645047191187,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","3","IMV","imv_proc","ABG","Low",35,1038,315,262,-1.24133596854659,0.0283908116246255,0.00159340330090786,0.22427612847996,20,20,1038,1000,1000,0.0300638850905788,0.173389403051567,0.224203526681708,0.170628543580124,0.288743835763372,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","3","IMV","imv_proc","ABG","Normal",40,1038,315,262,-1.51356550363422,0.0308420242594757,0.00142867021879704,0.180475108924678,20,20,1038,1000,1000,0.0323421279892126,0.17983917256597,0.180410986704179,0.133999399676282,0.238470967183087,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","3","IMV","imv_proc","VBG","High",50,1038,315,262,-1.96661617567602,0.0549672837465545,0.0059282944065967,0.122979700395572,20,20,1038,1000,1000,0.0611919928734811,0.247370153562391,0.122752807536258,0.0793317252830376,0.185160118300601,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","3","IMV","imv_proc","VBG","Low",40,1038,315,262,-2.01615033001007,0.0507476592042459,0.00615908066157546,0.117747787918973,20,20,1038,1000,1000,0.0572146938989001,0.239195932028327,0.117517642069301,0.076918269463328,0.175472768571041,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
"location","3","IMV","imv_proc","VBG","Normal",45,1038,315,262,-2.04562766895412,0.0596517907078658,0.00783664375796682,0.114782880309603,20,20,1038,1000,1000,0.067880266653731,0.260538416848132,0.114494927089537,0.0720055223903248,0.177267332919967,TRUE,18,"completed","within_setting_common_source_marginal_standardization","20260424_063653","2026-04-24 06:36:53.744157"
