"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","run_id","run_ts"
"VBG","imv_proc","IMV",73,73.5,165,0.260606060606061,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",74,74.5,186,0.295698924731183,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",75,75.5,158,0.291139240506329,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",76,76.5,163,0.226993865030675,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",77,77.5,135,0.288888888888889,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",78,78.5,140,0.357142857142857,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",79,79.5,132,0.272727272727273,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",80,80.5,133,0.285714285714286,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",81,81.5,102,0.362745098039216,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","imv_proc","IMV",82,82.5,70,0.214285714285714,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",25,25.5,337,0.0356083086053413,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",26,26.5,441,0.0476190476190477,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",27,27.5,486,0.0349794238683128,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",28,28.5,630,0.0555555555555557,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",29,29.5,670,0.0641791044776119,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",30,30.5,943,0.0604453870625663,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",31,31.5,983,0.0447609359104781,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",32,32.5,1206,0.0447761194029851,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",33,33.5,1407,0.0653873489694385,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",34,34.5,1568,0.0669642857142857,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",35,35.5,1684,0.0659144893111638,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",36,36.5,2010,0.0621890547263683,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",37,37.5,1957,0.0536535513541136,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",38,38.5,2348,0.055366269165247,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",39,39.5,2277,0.0540184453227933,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",40,40.5,3549,0.0431107354184277,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",41,41.5,3325,0.0514285714285713,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",42,42.5,3652,0.0402519167579409,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",43,43.5,3488,0.0447247706422022,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",44,44.5,3614,0.0459324847814056,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",45,45.5,3330,0.0486486486486487,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",46,46.5,3369,0.0412585336895222,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",47,47.5,2908,0.0667125171939478,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",48,48.5,2884,0.0495839112343967,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",49,49.5,2441,0.0540761982793938,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",50,50.5,2464,0.0568181818181819,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",51,51.5,2028,0.0645956607495069,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",52,52.5,1964,0.0789205702647657,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",53,53.5,1630,0.0650306748466257,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",54,54.5,1495,0.0782608695652174,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",55,55.5,1187,0.0968828980623421,"20260415_003149","2026-04-15 00:31:49.347034"
