"term","logOR","estimate","SE","LCL","UCL","outcome","group","OR","method","run_id","run_ts"
"co2_catLow",0.293941620646414,1.34170557347648,0.0215689313764404,1.28616704853112,1.39964233102826,"IMV","ABG",1.34170557347648,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catHigh",0.272917021101432,1.3137912233529,0.0216578863877899,1.25918862330577,1.37076157345488,"IMV","ABG",1.3137912233529,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catLow",0.00883394021117972,1.00887307461311,0.0363011442984492,0.939585646388785,1.08326993349806,"NIV","ABG",1.00887307461311,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catHigh",0.977284820128117,2.65723157654331,0.0302404908378236,2.50431052739277,2.8194904641997,"NIV","ABG",2.65723157654331,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catLow",0.653481621808361,1.92222164102083,0.0247991873382551,1.83102370964984,2.01796187440708,"Death60d","ABG",1.92222164102083,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catHigh",0.348961456898531,1.41759455079839,0.0254622556602234,1.34858438126087,1.49013612969063,"Death60d","ABG",1.41759455079839,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catLow",-0.0819165504393067,0.92134884164446,0.0421737207969419,0.84825240234621,1.00074421911642,"HCRF","ABG",0.92134884164446,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catHigh",1.80637973358544,6.08836597910258,0.0308799895194529,5.73079895178081,6.46824301591928,"HCRF","ABG",6.08836597910258,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catLow",0.288514664902071,1.3344439188688,0.0321233748706162,1.25301525441775,1.42116432048817,"IMV","VBG",1.3344439188688,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catHigh",0.42328067750126,1.52696281993394,0.0303037530204253,1.43890919286504,1.62040486294906,"IMV","VBG",1.52696281993394,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catLow",0.0166015273306453,1.01674009845421,0.0489493991777544,0.923726455447804,1.11911965031199,"NIV","VBG",1.01674009845421,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catHigh",1.09887216100859,3.00077971833065,0.0409516757158908,2.76933405130991,3.25156833776891,"NIV","VBG",3.00077971833065,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catLow",0.568628618183669,1.76584374417253,0.0328769195488815,1.65564366698516,1.88337876743209,"Death60d","VBG",1.76584374417253,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catHigh",0.322206047347219,1.38016912684867,0.0335240578968904,1.29239733623854,1.4739018452717,"Death60d","VBG",1.38016912684867,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catLow",-0.12766696120478,0.88014645325382,0.0580663774147582,0.785466821454677,0.986238702916336,"HCRF","VBG",0.88014645325382,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
"co2_catHigh",2.0772116063246,7.98218039282832,0.0411877129665765,7.36311950631459,8.65328937945539,"HCRF","VBG",7.98218039282832,"IPW + MI adjusted","20260415_003149","2026-04-15 00:31:49.347034"
