"group","imp","max_abs_post","mean_abs_post","run_id","run_ts"
"ABG",1,0.090124678643963,0.0243033968462912,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",2,0.0906491870698139,0.0242935405823247,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",3,0.0902638465005051,0.0244324581857706,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",4,0.0897174779986291,0.024394687334055,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",5,0.0902007719244439,0.0241376619101965,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",6,0.0892419747284168,0.0244329623453985,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",7,0.0899078661047047,0.0243211725754603,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",8,0.0903124830586561,0.0244369054133733,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",9,0.0889011757708158,0.0244485693409521,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",10,0.0903030444657721,0.0246633987797717,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",11,0.0897905319143117,0.0240951278762866,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",12,0.0909256223768119,0.0242752240668797,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",13,0.0903373745253296,0.0243179605825903,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",14,0.0897538100606103,0.0242564950751672,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",15,0.0892363217592538,0.0244820617783712,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",16,0.0893589641883164,0.0243553762168554,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",17,0.0896364954270332,0.0240393979060219,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",18,0.0900187198927911,0.024559867624784,"20260419_112645","2026-04-19 11:26:45.267227"
"ABG",19,0.0898611596417023,0.0244592807954162,"20260419_112645","2026-04-19 11:26:45.267227"
