"outcome","outcome_var","group","co2_scale","strategy","co2_value","manuscript_eta","manuscript_var_eta","manuscript_p","manuscript_p_LCL","manuscript_p_UCL","discordance_eta","discordance_var_eta","discordance_p","discordance_p_LCL","discordance_p_UCL","abs_eta_diff","abs_var_eta_diff","abs_p_diff","abs_p_LCL_diff","abs_p_UCL_diff","run_id","run_ts"
"IMV","imv_proc","ABG","paco2","marginal_standardized",23,-1.21645888374471,0.0350948371781217,0.228560221552719,0.170280903436183,0.299583914003511,-1.21645888374471,0.0350948371781217,0.228560221552719,0.170280903436183,0.299583914003511,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",23.3115577889447,-1.2060575839087,0.0324885057033826,0.230399359291302,0.173741499497694,0.29885084250444,-1.2060575839087,0.0324885057033826,0.230399359291302,0.173741499497694,0.29885084250444,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",23.6231155778894,-1.19623881877445,0.030128073974019,0.232144985388434,0.177052712269471,0.298168834457114,-1.19623881877445,0.030128073974019,0.232144985388434,0.177052712269471,0.298168834457114,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",23.9346733668342,-1.18701309162198,0.0279987153698689,0.23379356751951,0.180202476606007,0.297537890144657,-1.18701309162198,0.0279987153698689,0.23379356751951,0.180202476606007,0.297537890144657,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",24.2462311557789,-1.17839092145148,0.0260857534016709,0.235341636173583,0.183179595504577,0.296957218389705,-1.17839092145148,0.0260857534016709,0.235341636173583,0.183179595504577,0.296957218389705,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",24.5577889447236,-1.17038284472946,0.0243746868869096,0.236785790260362,0.185973946454464,0.296425070305367,-1.17038284472946,0.0243746868869096,0.236785790260362,0.185973946454464,0.296425070305367,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",24.8693467336683,-1.16299941714086,0.0228512154125329,0.238122702706133,0.188576685650957,0.295938573509856,-1.16299941714086,0.0228512154125329,0.238122702706133,0.188576685650957,0.295938573509856,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",25.1809045226131,-1.15625121534871,0.0215012651153969,0.239349126054892,0.190980439228376,0.295493577513583,-1.15625121534871,0.0215012651153969,0.239349126054892,0.190980439228376,0.295493577513583,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",25.4924623115578,-1.15014883876379,0.0203110148116265,0.240461898092905,0.193179468971404,0.295084522738458,-1.15014883876379,0.0203110148116265,0.240461898092905,0.193179468971404,0.295084522738458,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",25.8040201005025,-1.14470291132667,0.0192669225062763,0.241457947516645,0.195169799404477,0.29470434624487,-1.14470291132667,0.0192669225062763,0.241457947516645,0.195169799404477,0.29470434624487,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",26.1155778894472,-1.13992408330496,0.0183557523147844,0.242334299665546,0.196949294155589,0.294344436300713,-1.13992408330496,0.0183557523147844,0.242334299665546,0.196949294155589,0.294344436300713,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",26.427135678392,-1.13582303310881,0.0175646018277819,0.243088082342207,0.198517672239005,0.293994645232242,-1.13582303310881,0.0175646018277819,0.243088082342207,0.198517672239005,0.293994645232242,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",26.7386934673367,-1.13241046912779,0.0168809299508715,0.243716531743652,0.199876459253847,0.293643365694708,-1.13241046912779,0.0168809299508715,0.243716531743652,0.199876459253847,0.293643365694708,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",27.0502512562814,-1.12969713159237,0.0162925852510821,0.244216998527812,0.201028873925653,0.29327767011734,-1.12969713159237,0.0162925852510821,0.244216998527812,0.201028873925653,0.29327767011734,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",27.3618090452261,-1.12769379446328,0.0157878348418795,0.244586954039637,0.20197965610047,0.292883507436934,-1.12769379446328,0.0157878348418795,0.244586954039637,0.20197965610047,0.292883507436934,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",27.6733668341709,-1.12641126735174,0.015355393838888,0.244823996721102,0.20273484729824,0.29244594627373,-1.12641126735174,0.015355393838888,0.244823996721102,0.20273484729824,0.29244594627373,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",27.9849246231156,-1.12586039747369,0.0149844554189255,0.244925858728769,0.203301538432357,0.291949450233745,-1.12586039747369,0.0149844554189255,0.244925858728769,0.203301538432357,0.291949450233745,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",28.2964824120603,-1.12605207164047,0.01466472151557,0.244890412781517,0.203687600821147,0.291378169526787,-1.12605207164047,0.01466472151557,0.244890412781517,0.203687600821147,0.291378169526787,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",28.608040201005,-1.12699721828822,0.0143864341853146,0.244715679259506,0.203901416095453,0.290716233627611,-1.12699721828822,0.0143864341853146,0.244715679259506,0.203901416095453,0.290716233627611,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",28.9195979899498,-1.12870680954782,0.0141404076794506,0.244399833573353,0.203951618376491,0.289948031946748,-1.12870680954782,0.0141404076794506,0.244399833573353,0.203951618376491,0.289948031946748,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",29.2311557788945,-1.13119186335619,0.0139180612581426,0.243941213819845,0.20384685874544,0.289058472831019,-1.13119186335619,0.0139180612581426,0.243941213819845,0.20384685874544,0.289058472831019,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",29.5427135678392,-1.13446344560942,0.0137114527847642,0.243338328737237,0.203595598213095,0.288033215019118,-1.13446344560942,0.0137114527847642,0.243338328737237,0.203595598213095,0.288033215019118,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",29.8542713567839,-1.13853267235691,0.0135133131404211,0.242589865969304,0.203205931706037,0.286858869352573,-1.13853267235691,0.0135133131404211,0.242589865969304,0.203205931706037,0.286858869352573,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",30.1658291457286,-1.14341071203489,0.0133170815007091,0.241694700642703,0.202685442421735,0.28552317167993,-1.14341071203489,0.0133170815007091,0.241694700642703,0.202685442421735,0.28552317167993,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",30.4773869346734,-1.14910878773632,0.0131169415191003,0.240651904256946,0.202041083473585,0.284015130286825,-1.14910878773632,0.0131169415191003,0.240651904256946,0.202041083473585,0.284015130286825,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",30.7889447236181,-1.15563817951293,0.0129078584639074,0.239460753880254,0.201279082077996,0.282325152806325,-1.15563817951293,0.0129078584639074,0.239460753880254,0.201279082077996,0.282325152806325,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",31.1005025125628,-1.16301022670346,0.0126856173584709,0.238120741637799,0.200404860538181,0.280445158503135,-1.16301022670346,0.0126856173584709,0.238120741637799,0.200404860538181,0.280445158503135,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",31.4120603015075,-1.17123633028081,0.0124468621770011,0.236631584471313,0.199422967800451,0.27836868223439,-1.17123633028081,0.0124468621770011,0.236631584471313,0.199422967800451,0.27836868223439,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"IMV","imv_proc","ABG","paco2","marginal_standardized",31.7236180904523,-1.18032795520869,0.0121891361513032,0.234993234140736,0.198337015233533,0.276090976433476,-1.18032795520869,0.0121891361513032,0.234993234140736,0.198337015233533,0.276090976433476,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
