"outcome","modality","analysis_family","co2_representation","or_low_vs_normal","or_high_vs_normal","prob_normal","prob_low","prob_high","notes","run_id","run_ts"
"IMV","ABG","MI-logistic IPSW","cat3",1.348,1.259,0.211,0.265,0.252,"Current categorical ORs and predicted probabilities.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","VBG","MI-logistic IPSW","cat3",1.532,1.584,0.166,0.234,0.24,"Current categorical ORs and predicted probabilities.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","ABG","MI-logistic IPSW","cat3",1.05,2.768,0.083,0.086,0.2,"Current categorical ORs and predicted probabilities.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","VBG","MI-logistic IPSW","cat3",1.002,2.958,0.019,0.019,0.055,"Current categorical ORs and predicted probabilities.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","ABG","MI-logistic IPSW","spline",1.194,1.034,0.204,0.234,0.209,"Current modality-specific reference profile.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","ABG","MI-logistic IPSW","spline",1.062,1.354,0.08,0.084,0.105,"Current modality-specific reference profile.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","VBG","MI-logistic IPSW","spline",1.161,1.101,0.169,0.191,0.183,"Current modality-specific reference profile.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","VBG","MI-logistic IPSW","spline",1.028,1.431,0.017,0.018,0.025,"Current modality-specific reference profile.","20260421_094018","2026-04-21 09:40:18.841212"
