"paco2","age_at_encounter","sex","race_ethnicity","location","encounter_type","eta","SE_eta","var_eta","p","p_LCL","p_UCL","co2_ref","m_used","m_total","outcome","outcome_var","group","strategy","co2_scale","co2_value","vbg_co2","run_id","run_ts"
21.7999992370605,63,"Male","0","0","Inpatient",-0.88172189515036,0.0695334578931784,0.00483490176658242,0.292821087041715,0.265415702382816,0.32181651643041,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",21.7999992370605,NA,"20260421_094018","2026-04-21 09:40:18.841212"
22.1175871805929,63,"Male","0","0","Inpatient",-0.882484098048998,0.0673980257082892,0.00454249386937521,0.29266327735754,0.266083668761971,0.320737641950223,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",22.1175871805929,NA,"20260421_094018","2026-04-21 09:40:18.841212"
22.4351751241253,63,"Male","0","0","Inpatient",-0.883498144178525,0.0653967153093376,0.00427673037325055,0.29245340230799,0.26665204044069,0.319663079510589,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",22.4351751241253,NA,"20260421_094018","2026-04-21 09:40:18.841212"
22.7527630676576,63,"Male","0","0","Inpatient",-0.884768497442038,0.0635301566513295,0.00403608080414247,0.292190604532663,0.267119290853171,0.318592123303792,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",22.7527630676576,NA,"20260421_094018","2026-04-21 09:40:18.841212"
23.07035101119,63,"Male","0","0","Inpatient",-0.886299621742637,0.0617982537124153,0.00381902416190406,0.291874045455009,0.267484241623639,0.317523764035338,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",23.07035101119,NA,"20260421_094018","2026-04-21 09:40:18.841212"
23.3879389547223,63,"Male","0","0","Inpatient",-0.888095980983421,0.0602000966264749,0.00362405163383692,0.291502906340708,0.267746099603325,0.316456654484954,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",23.3879389547223,NA,"20260421_094018","2026-04-21 09:40:18.841212"
23.7055268982547,63,"Male","0","0","Inpatient",-0.890162039067488,0.0587338859183711,0.00344966935507223,0.291076389390498,0.267904488377829,0.315389080646333,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",23.7055268982547,NA,"20260421_094018","2026-04-21 09:40:18.841212"
24.0231148417871,63,"Male","0","0","Inpatient",-0.892502259897938,0.0573968746170318,0.00329440121580327,0.290593718868715,0.267959471844406,0.314318940854841,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",24.0231148417871,NA,"20260421_094018","2026-04-21 09:40:18.841212"
24.3407027853194,63,"Male","0","0","Inpatient",-0.895121107377868,0.056185333632268,0.00315679171536926,0.290054142268768,0.267911567647174,0.313243735124397,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",24.3407027853194,NA,"20260421_094018","2026-04-21 09:40:18.841212"
24.6582907288518,63,"Male","0","0","Inpatient",-0.898023045410379,0.055094544767979,0.00303540886319085,0.289456931516705,0.267761748707129,0.312160566466111,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",24.6582907288518,NA,"20260421_094018","2026-04-21 09:40:18.841212"
24.9758786723841,63,"Male","0","0","Inpatient",-0.901212537898568,0.0541188241424082,0.0029288471265569,0.288801384213925,0.267511431775506,0.311066155269861,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",24.9758786723841,NA,"20260421_094018","2026-04-21 09:40:18.841212"
25.2934666159165,63,"Male","0","0","Inpatient",-0.904694048745534,0.0532515767396879,0.00283573042526287,0.288086824920029,0.267162452810344,0.309956866958756,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",25.2934666159165,NA,"20260421_094018","2026-04-21 09:40:18.841212"
25.6110545594489,63,"Male","0","0","Inpatient",-0.908472041854377,0.0524853805654537,0.0027547151731005,0.287312606476641,0.266717029925088,0.308828752177549,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",25.6110545594489,NA,"20260421_094018","2026-04-21 09:40:18.841212"
25.9286425029812,63,"Male","0","0","Inpatient",-0.912550981128196,0.0518120967168778,0.0026844933661991,0.286478111372924,0.266177715561019,0.307677597872958,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",25.9286425029812,NA,"20260421_094018","2026-04-21 09:40:18.841212"
26.2462304465136,63,"Male","0","0","Inpatient",-0.916935330470088,0.0512229998947562,0.0026237957182182,0.285582753153341,0.265547340271593,0.30649898688741,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",26.2462304465136,NA,"20260421_094018","2026-04-21 09:40:18.841212"
26.5638183900459,63,"Male","0","0","Inpatient",-0.921629553783153,0.050708922709832,0.00257139484239172,0.284625977868037,0.264828950983194,0.305288363210918,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",26.5638183900459,NA,"20260421_094018","2026-04-21 09:40:18.841212"
26.8814063335783,63,"Male","0","0","Inpatient",-0.926638114970489,0.050260406687805,0.00252610848042355,0.283607265566004,0.264025746765921,0.304041099866262,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",26.8814063335783,NA,"20260421_094018","2026-04-21 09:40:18.841212"
27.1989942771106,63,"Male","0","0","Inpatient",-0.931965477935197,0.0498678531544581,0.0024868027782346,0.282526131830973,0.263141015014032,0.302752566535969,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",27.1989942771106,NA,"20260421_094018","2026-04-21 09:40:18.841212"
27.516582220643,63,"Male","0","0","Inpatient",-0.937616106580373,0.049521668071273,0.00245239560856134,0.281382129359722,0.262178070548463,0.301418194426038,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",27.516582220643,NA,"20260421_094018","2026-04-21 09:40:18.841212"
27.8341701641754,63,"Male","0","0","Inpatient",-0.943594464809118,0.0492123962067052,0.00242185994040574,0.280174849582191,0.261140199593096,0.300033536421107,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",27.8341701641754,NA,"20260421_094018","2026-04-21 09:40:18.841212"
28.1517581077077,63,"Male","0","0","Inpatient",-0.949905016524529,0.0489308415555745,0.00239422725533674,0.278903924322514,0.260030609932522,0.298594321228592,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",28.1517581077077,NA,"20260421_094018","2026-04-21 09:40:18.841212"
28.4693460512401,63,"Male","0","0","Inpatient",-0.956552225629706,0.0486681724604807,0.0023685910106431,0.277569027499726,0.258852387915033,0.297096500851938,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",28.4693460512401,NA,"20260421_094018","2026-04-21 09:40:18.841212"
28.7869339947724,63,"Male","0","0","Inpatient",-0.963540556027748,0.0484160112910776,0.00234411014933776,0.276169876866542,0.257608462384619,0.2955362913116,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",28.7869339947724,NA,"20260421_094018","2026-04-21 09:40:18.841212"
29.1045219383048,63,"Male","0","0","Inpatient",-0.970874471621754,0.0481665097034616,0.00232001265701366,0.274706235784219,0.256301575149341,0.293910207006981,40,20,20,"IMV","imv_proc","ABG","common_reference","paco2",29.1045219383048,NA,"20260421_094018","2026-04-21 09:40:18.841212"
