"outcome","contrast","abg_or","vbg_or","abg_prob","vbg_prob","abg_rd","vbg_rd","abg_rr","vbg_rr","comment","run_id","run_ts"
"IMV","High vs normal",1.2594618114195,1.5842547972031,0.252356367106934,0.240122165098657,0.04099996549747,0.0738282320557413,1.19398497128669,1.44396227032942,"Scale check does not show clearly closer ORs.","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","Low vs normal",1.34773492256281,1.53168178013046,0.265350223046659,0.234018532510929,0.0539938214371949,0.0677245994680132,1.25546338329966,1.40725839018153,"Scale check does not show clearly closer ORs.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","High vs normal",2.76753873277975,2.95846850957576,0.199702356641722,0.0551149395619213,0.11699470060892,0.0357799438701923,2.41455708238811,2.85052763603656,"Relative odds are closer than absolute risk differences.","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","Low vs normal",1.05008275659957,1.00200509851863,0.0864916154987045,0.0193730131989063,0.0037839594659027,3.80175071773396e-05,1.04575101807264,1.00196625371857,"Scale check does not show clearly closer ORs.","20260421_094018","2026-04-21 09:40:18.841212"
