"outcome","outcome_var","group","co2_scale","strategy","co2_value","p","p_LCL","p_UCL","m_used","n_standardized","standardization_sample_cap","run_id","run_ts"
"IMV","imv_proc","ABG","paco2","marginal_standardized",31.010049599499,0.237410884357118,0.233043599216797,0.243794062181652,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",31.3276375430313,0.235690231064141,0.231368519107597,0.242049508363386,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",31.6452254865637,0.233911987244677,0.229637978668469,0.240244413158892,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",31.962813430096,0.232076408227453,0.227852223459235,0.238379018519331,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",32.2804013736284,0.230183806797902,0.225997059902824,0.23645362658374,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",32.5979893171608,0.228234554738962,0.224075937660896,0.234468601374222,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",32.9155772606931,0.22622908434253,0.22210048366514,0.232424370464764,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",33.2331652042255,0.224167889884081,0.220071189803247,0.230321426615681,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",33.5507531477578,0.22205152905248,0.217988608955914,0.228160329365081,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",33.8683410912902,0.219880624326504,0.215853356264836,0.225941706568187,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",34.1859290348225,0.217656385070761,0.213666619154151,0.22366679288268,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",34.5035169783549,0.215388272320854,0.211437645271183,0.221345334762367,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",34.8211049218873,0.213092059418955,0.209181845379866,0.218993595257103,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",35.1386928654196,0.210783287167861,0.206914398412909,0.21662760641752,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",35.456280808952,0.208477057926136,0.204650050766741,0.214262956273693,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",35.7738687524843,0.20618802333576,0.202403104826998,0.211914775352884,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",36.0914566960167,0.203930379530583,0.200186134121754,0.209597730833802,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",36.4090446395491,0.201717869863548,0.198013689209477,0.207326028401529,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",36.7266325830814,0.199563795153002,0.195898921890551,0.205113421827057,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
"IMV","imv_proc","ABG","paco2","marginal_standardized",37.0442205266138,0.197481031412716,0.193854390766284,0.202973230256377,20,1000,1000,"20260421_094018","2026-04-21 09:40:18.841212"
