"setting_var","outcome","group","n_setting_levels","min_weighted_event_rate","max_weighted_event_rate","rate_range","run_id","run_ts"
"encounter_type","IMV","ABG",2,0.137666056340908,0.251995067900664,0.114329011559756,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","IMV","VBG",2,0.047441370489635,0.182646797007374,0.135205426517739,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","NIV","ABG",2,0.0651519589744815,0.099905694707422,0.0347537357329405,"20260421_094018","2026-04-21 09:40:18.841212"
"encounter_type","NIV","VBG",2,0.0595697026141223,0.0945450871151873,0.034975384501065,"20260421_094018","2026-04-21 09:40:18.841212"
"location","IMV","ABG",4,0.185650459908513,0.268212656164818,0.082562196256305,"20260421_094018","2026-04-21 09:40:18.841212"
"location","IMV","VBG",4,0.123142610591309,0.200029939654274,0.0768873290629656,"20260421_094018","2026-04-21 09:40:18.841212"
"location","NIV","ABG",4,0.0269309512703659,0.141943786163184,0.115012834892818,"20260421_094018","2026-04-21 09:40:18.841212"
"location","NIV","VBG",4,0.0212940610675556,0.141243022487383,0.119948961419828,"20260421_094018","2026-04-21 09:40:18.841212"
