"outcome","group","n_tested","events","event_rate","patient_field","encounter_date_field","run_id","run_ts"
"IMV","ABG",18268,4675,0.25591197722794,"patient_id","encounter_date","20260421_094018","2026-04-21 09:40:18.841212"
"IMV","VBG",14668,2248,0.153258794655031,"patient_id","encounter_date","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","ABG",18268,1766,0.0966717757827896,"patient_id","encounter_date","20260421_094018","2026-04-21 09:40:18.841212"
"NIV","VBG",14668,1009,0.0687892009817289,"patient_id","encounter_date","20260421_094018","2026-04-21 09:40:18.841212"
